generation,best_fitness,mean_fitness,std_fitness
0.0,513837548.241875,5085319490.450378,3391638547.771863
1.0,513837548.241875,4191558901.955703,1989669423.102771
2.0,513837548.241875,3724178369.917928,1934581857.5751097
3.0,513837548.241875,3297673607.1985908,1739238700.821994
4.0,513837548.241875,2952521097.217347,1554635096.1795852
5.0,513837548.241875,2795219669.0435724,1547423629.569885
6.0,513837548.241875,2642565996.8627715,1440666410.221946
7.0,405309630.7165625,2063857254.5191765,1144956491.3836548
8.0,27759543.93088867,1659768295.2507799,1081476701.4352038
9.0,27759543.93088867,1555856221.9876113,1122856613.1312602
10.0,27759543.93088867,1198675431.2926724,802887552.4373971
11.0,27759543.93088867,932033198.5107473,566630282.5124412
12.0,27759543.93088867,792518468.528559,511970598.58542573
13.0,27759543.93088867,697151676.6449487,473844914.7713624
14.0,27759543.93088867,617420598.2414496,448211685.02032465
15.0,27759543.93088867,450149982.6688555,363439030.85060334
16.0,27759543.93088867,379940154.70377415,244958434.30418053
17.0,27759543.93088867,313750890.9814367,206884368.23431453
18.0,21502779.46953223,243329429.68938398,196900525.40115017
19.0,10080411.504,189189053.78330496,129929233.52334727
20.0,10080411.504,155280249.56357905,128904354.58164819
21.0,10080411.504,130246285.14235397,118648376.56925224
22.0,10080411.504,86761656.19125038,62834663.74157219
23.0,10080411.504,69575731.10338858,52889207.73556962
24.0,10080411.504,57606906.244132005,42427929.35339932
25.0,10080411.504,51668221.079955086,39675139.792043805
26.0,9904369.0,47553645.25019313,37809141.1969627
27.0,9904369.0,40061006.94633154,32962527.972145576
28.0,9904369.0,34615762.1607453,20871161.65882417
29.0,9369028.644000001,32552990.82161383,19053743.790319875
30.0,9369028.644000001,30548595.35211163,19091831.02779438
31.0,9369028.644000001,27117709.731230654,15541202.662676122
32.0,9369028.644000001,24508543.14719581,12328294.74350642
33.0,9369028.644000001,22675285.332589827,12433649.569187563
34.0,9369028.644000001,21264553.828871228,10798446.852271063
35.0,9317979.34,19991148.803372644,11072402.149600782
36.0,9317979.34,19413886.09288202,11272108.75672488
37.0,9317979.34,18758341.91614457,10976101.475116933
38.0,9117065.954,18127994.70514955,11105364.007945547
39.0,9117065.954,16796051.9665266,6905241.803208947
40.0,9117065.954,16374815.285848375,6757611.121059865
41.0,8991222.89,15685401.714326512,6202154.77895973
42.0,8991222.89,15205299.096139112,5891288.309829327
43.0,8991222.89,14634053.753392104,5833227.983964237
44.0,8991222.89,14100885.897007113,5785825.879928686
45.0,8991222.89,13872256.396170741,5542176.320637005
46.0,8991222.89,13342935.685446644,5408382.24561443
47.0,8991222.89,12417716.777097046,4861728.5568396095
48.0,8991222.89,11834382.632051002,4456198.215222105
49.0,8991222.89,11816890.738851001,4463242.433419718
50.0,8991222.89,11742407.120303515,4383654.24053574
51.0,8991222.89,11088080.48949016,3737475.841614046
52.0,8991222.89,11068962.16489016,3746096.715348586
53.0,8955666.882,10803212.676582154,3472728.529093473
54.0,8955666.882,10778265.900332155,3480151.831433328
55.0,8825431.634,10473287.49856599,3208880.067109786
56.0,8825431.634,10467931.171065992,3210214.3307058434
57.0,8825431.634,10450370.342815991,3214978.4900078643
58.0,8825431.634,10435825.338065991,3218776.232810866
59.0,8825431.634,10122022.583996436,2779629.8230509013
60.0,8639905.074000001,10100204.626996437,2787232.7800979055
