generation,best_fitness,mean_fitness,std_fitness
0.0,290835382.1458125,4878757670.832887,3437884154.9738827
1.0,290835382.1458125,4061323340.8768063,3229705352.8634076
2.0,203707325.0290625,3599725472.69846,2818981988.474249
3.0,25509698.749768555,2543515338.809303,1829137915.9139469
4.0,25509698.749768555,2062264597.7999854,1431913432.347618
5.0,25509698.749768555,1635261799.4023504,1075187301.4716213
6.0,25509698.749768555,1282711994.096073,1079727488.0893161
7.0,25509698.749768555,1059333486.8095049,1042694669.4546497
8.0,25509698.749768555,829757989.4669124,734732949.8756653
9.0,25509698.749768555,643490207.1589478,483860027.36784136
10.0,18984980.083083984,560517406.006978,475659451.39651185
11.0,18984980.083083984,492496743.24917257,457259800.5829788
12.0,18984980.083083984,390426356.8507086,392673467.34491694
13.0,18984980.083083984,307274046.7128349,347908336.24341214
14.0,18984980.083083984,235328228.95721245,267723649.43146598
15.0,18984980.083083984,193540695.3569503,195005883.86283806
16.0,18984980.083083984,167066088.8624901,184555406.6777786
17.0,18984980.083083984,130209879.76369093,98886675.41152932
18.0,18984980.083083984,115778880.25933291,92503640.33810101
19.0,18984980.083083984,97460966.47360091,74853179.33413224
20.0,18984980.083083984,94442754.61780557,74263819.92372467
21.0,18984980.083083984,80408822.78473538,60236823.80641421
22.0,18984980.083083984,75297500.64556819,57340147.72330332
23.0,18984980.083083984,66423522.77759756,52073537.85138557
24.0,18984980.083083984,56968269.170624696,41782452.798440464
25.0,10226165.93,50955494.194897555,40443888.5280947
26.0,9628429.684,45724248.268868655,40075816.77470031
27.0,9628429.684,34627321.46342221,18138655.170127872
28.0,9628429.684,31963114.91445076,15722477.222113164
29.0,9628429.684,31428351.275845062,15107016.84530376
30.0,9628429.684,28467048.136150885,12017147.087474687
31.0,9628429.684,28054680.811736364,12000041.059661089
32.0,9628429.684,25550872.46031099,11131976.269901248
33.0,9628429.684,24011437.971454863,9689358.111395422
34.0,9628429.684,22676801.067286596,7748067.943413358
35.0,8767366.04,21955694.964021515,7494012.579059829
36.0,8767366.04,20397038.2660133,5812370.564717956
37.0,8767366.04,19392729.416193347,5128106.687507423
38.0,8767366.04,18550994.442229226,5250920.539358604
39.0,8767366.04,17637882.1680641,5765223.224066116
40.0,8767366.04,17608984.244055737,5792917.371783955
41.0,8767366.04,17429954.85700187,5609117.553934598
42.0,8767366.04,16920623.454067107,5653256.641624666
43.0,8767366.04,16572891.527968008,5452306.8459495595
44.0,8767366.04,16119643.217382167,5554348.755010049
45.0,8767366.04,16119643.217382167,5554348.755010049
46.0,8767366.04,15900165.470010368,5615383.010209476
47.0,8767366.04,15796414.39574789,5530584.203233357
48.0,8767366.04,15300991.826701546,5536667.926963956
49.0,8767366.04,15062173.68633461,5549956.138012522
50.0,8723207.743999999,14440121.089145567,5596629.5708109755
51.0,8723207.743999999,13974126.780986523,5530098.408225457
52.0,8723207.743999999,13411445.808337843,5183292.000197222
53.0,8723207.743999999,13003315.148499727,5045320.21729865
54.0,8723207.743999999,12387309.20003715,4824786.313393059
