generation,best_fitness,mean_fitness,std_fitness
0.0,649315861.903125,6397539191.931218,12394670572.7443
1.0,473848417.8675,1748342583.5242658,1259836188.7386658
2.0,327948835.346875,1239411179.2239296,814804738.2216879
3.0,327948835.346875,872022646.8252423,430601863.75576603
4.0,153146733.44890624,716285393.2942148,313745397.9713866
5.0,153146733.44890624,580245676.8880587,265838624.8248736
6.0,153146733.44890624,479557809.7247695,210442422.07061124
7.0,145448774.4334375,402669924.5828438,176834464.9278054
8.0,141112551.84203124,352962231.2477617,163345615.9652749
9.0,103763390.61617187,310581537.9885566,137595141.22861812
10.0,76072322.7465625,251915070.72096682,104864353.80249591
11.0,59714372.05785156,207891396.58042675,95257570.23630457
12.0,59714372.05785156,183111604.367833,89877547.9023245
13.0,59714372.05785156,162369340.70984668,65862442.311888
14.0,59714372.05785156,145800743.89664942,57894735.128953196
15.0,41180483.8890625,121924859.33331446,51123208.43189971
16.0,35767426.22363281,100851071.17547949,39298185.34946033
17.0,24169372.738085937,87812226.5661875,35705984.75358493
18.0,22362463.23381836,80611289.84375562,38125127.633320995
19.0,22362463.23381836,71213328.08438404,31734295.31202538
20.0,19978793.56343262,57939017.83462489,29474848.18887265
21.0,8706232.74,47325318.2628977,27791721.163930207
22.0,8706232.74,43789972.987540044,23720941.0587914
23.0,8380939.439999999,37383429.01808545,22669696.40283644
24.0,8380939.439999999,31226502.221369624,17839022.242222574
25.0,8106126.28,25598044.235150512,13903976.299712893
26.0,8106126.28,21491163.500473022,8179714.4613096835
27.0,7867240.3599999985,18067425.54773413,7564053.342434299
28.0,7572045.8999999985,15598996.059878174,7520066.916101144
29.0,7572045.8999999985,14859452.220080197,7423557.957881263
30.0,7572045.8999999985,14717793.68197229,7288790.904564931
31.0,7572045.8999999985,13616523.534027953,7026746.88914411
32.0,7572045.8999999985,12398446.59612976,5909439.890783853
33.0,7572045.8999999985,12264886.635636354,5627316.09823611
34.0,7572045.8999999985,11403097.825108398,4932254.949806201
35.0,7572045.8999999985,10835848.804802611,4644771.819935756
36.0,7572045.8999999985,10314342.893652588,4332527.487484493
37.0,7572045.8999999985,9974189.643419066,4000693.3631832097
