generation,best_fitness,mean_fitness,std_fitness
0.0,856000.0,10744869556.103897,56539968069.81931
1.0,856000.0,1306510900.9906769,7813501067.608534
2.0,856000.0,24213034.23461914,44883202.72251205
3.0,856000.0,9360071.272659302,16489315.162680214
4.0,856000.0,3771563.6741638184,5204591.088576117
5.0,856000.0,3008464.879989624,4228936.510402755
6.0,856000.0,1623125.0,319301.3613735463
7.0,805000.0,1565950.0,312863.14500113303
8.0,805000.0,1546175.0,306117.3702601667
9.0,805000.0,1466200.0,318999.70219421835
10.0,805000.0,1430175.0,306063.38293726026
11.0,703000.0,1365175.0,287121.21895638434
12.0,703000.0,1323325.0,275059.30156059074
13.0,703000.0,1252200.0,260454.42979530987
14.0,703000.0,1219875.0,230270.83917639244
15.0,703000.0,1169200.0,206321.6178688021
16.0,703000.0,1153200.0,209701.59751418204
17.0,703000.0,1121025.0,174673.0499390218
18.0,703000.0,1102625.0,183519.1662333937
19.0,703000.0,1098075.0,182919.43410966478
20.0,654000.0,1072750.0,185639.94047618093
21.0,654000.0,1053675.0,180611.37664887003
22.0,587000.0,1038125.0,191956.66014754475
23.0,587000.0,994100.0,198094.6490948203
24.0,587000.0,946875.0,194827.12689715464
25.0,587000.0,933625.0,188407.36284710318
26.0,587000.0,911075.0,185641.6423516017
27.0,587000.0,887250.0,184888.8517461234
28.0,587000.0,841250.0,153591.13743963224
29.0,587000.0,822375.0,149708.49800529025
30.0,578000.0,809750.0,148567.28273748566
31.0,571000.0,776225.0,141193.7476483998
32.0,540000.0,748125.0,135763.4316559507
33.0,539000.0,727100.0,130462.79163041085
34.0,539000.0,719175.0,119160.16270129879
35.0,539000.0,709375.0,112122.85393709883
36.0,539000.0,709375.0,112122.85393709883
37.0,539000.0,697800.0,97756.38086590562
38.0,539000.0,684100.0,84593.38035567559
39.0,539000.0,675750.0,87376.69883899254
40.0,539000.0,673475.0,88788.50925091602
41.0,539000.0,667800.0,89720.17610326008
42.0,539000.0,663100.0,82751.67672017287
43.0,539000.0,653625.0,79127.64608529689
44.0,539000.0,643750.0,78871.01812453038
45.0,539000.0,633050.0,67551.44335985724
46.0,507000.0,627350.0,69210.02456292008
47.0,507000.0,619275.0,61286.208685152
48.0,507000.0,605900.0,55790.14249847369
49.0,507000.0,600450.0,56549.51370259518
50.0,507000.0,594475.0,54738.00667726219
51.0,507000.0,590425.0,54066.57354595351
52.0,507000.0,589225.0,54862.321997888495
53.0,507000.0,583075.0,49530.99408451238
