generation,best_fitness,mean_fitness,std_fitness
0.0,1082783614.82025,6567231969.764946,5295369931.5405655
1.0,357840983.290125,5224289015.022098,3321702227.8223257
2.0,357840983.290125,4547281637.516057,2645968392.7269096
3.0,357840983.290125,3935748230.4607325,2480369570.6631017
4.0,357840983.290125,3585062912.4394727,2353671219.2025366
5.0,357840983.290125,3224487684.5347123,2361871016.4814525
6.0,357840983.290125,2654859428.600823,1615522787.0927308
7.0,320600175.4275,2290853618.336725,1515237047.6097143
8.0,57415162.78767188,1948175581.8477988,1372343854.9774437
9.0,57415162.78767188,1641562075.7465963,1130553387.9453385
10.0,57415162.78767188,1374888463.1193142,983498881.9606612
11.0,57415162.78767188,1139017029.8532941,718588543.9487813
12.0,57415162.78767188,953581740.6871251,688690568.749857
13.0,57415162.78767188,871535756.6813527,595699858.9781519
14.0,37475577.510683596,731090324.2196225,580421279.9265158
15.0,37475577.510683596,651450120.8409295,583074480.4704757
16.0,32872428.331367187,488699560.0454188,486396300.80732244
17.0,32872428.331367187,400017195.6147344,463786961.98688775
18.0,20337903.11288672,280153329.775556,277762495.93186
19.0,20337903.11288672,234934988.99532738,248021148.68570334
20.0,20337903.11288672,183185989.4690023,192961494.86941025
21.0,20337903.11288672,153386547.48336723,155073277.35394216
22.0,20337903.11288672,130086812.0988318,127639045.79864289
23.0,19858267.57159668,108179386.13754009,100517609.47375765
24.0,9355300.694,84442838.73323238,85379942.40778396
25.0,9355300.694,66446531.076707035,58758080.21336878
26.0,9355300.694,57722840.44342279,49912231.5546491
27.0,9355300.694,55063717.619416736,49811887.40300747
28.0,9355300.694,52468063.75215445,47183699.26905175
29.0,9355300.694,48182211.19383345,44413271.04077448
30.0,9355300.694,43376612.43903427,41887679.33827338
31.0,9355300.694,34630957.3652484,21518294.472197894
32.0,9355300.694,32030509.05735712,21200771.274564274
33.0,9355300.694,26983956.121488687,15093612.238206508
34.0,9022370.743999999,23423462.191769328,13782381.59772423
35.0,9022370.743999999,22213982.802234277,12347293.304052461
36.0,9022370.743999999,20728546.999320704,9912099.64584945
37.0,9022370.743999999,20694441.007571533,9912288.971293466
38.0,9022370.743999999,20506510.973372374,9731800.046935994
39.0,9022370.743999999,19196293.225553934,8648452.722247964
40.0,9022370.743999999,18571455.24810363,8737649.177111456
41.0,9022370.743999999,17464181.339793075,8107054.870890529
42.0,9022370.743999999,16167521.47717755,6534756.017147679
43.0,9022370.743999999,15522280.945104308,6250748.033042472
44.0,8943434.232,15292508.984803079,6288012.539123675
45.0,8943434.232,15106904.302863859,6299833.56761344
46.0,8943434.232,14355285.32098036,5645944.152991562
47.0,8943434.232,14321875.708665028,5631242.675306485
48.0,8943434.232,14062813.379811473,5540036.891805998
49.0,8943434.232,13845165.493219538,5521640.905948368
50.0,8943434.232,13638306.384952195,5471673.2451333925
51.0,8913103.692000002,12916125.64425584,5201712.581797729
52.0,8913103.692000002,12718369.598204667,5121675.287538398
53.0,8913103.692000002,12490223.976380836,5007779.121170375
54.0,8913103.692000002,12268552.108604394,4916094.550803201
55.0,8913103.692000002,11498117.563270273,4144028.9977920395
56.0,8913103.692000002,11470060.399554783,4077414.753787034
57.0,8913103.692000002,11242789.719615469,3905543.0613702713
58.0,8913103.692000002,11214845.212170742,3884566.0068412013
59.0,8913103.692000002,11196373.473343827,3892020.9574163086
60.0,8763962.384,11165914.540779881,3900333.8742833803
61.0,8763962.384,11153342.832899883,3905695.103376714
62.0,8763962.384,10894659.986702502,3714890.3865026827
