generation,best_fitness,mean_fitness,std_fitness
0.0,26543186.842410155,4751215769.378339,3780458704.1896424
1.0,26543186.842410155,4492914691.029447,3762791501.5473285
2.0,26543186.842410155,3271093358.2087235,2319088765.2757316
3.0,26543186.842410155,2563489235.6022797,1730338108.9689257
4.0,26543186.842410155,2098324346.7216756,1595047787.863101
5.0,26543186.842410155,1633533501.1175232,1331819953.4117107
6.0,26543186.842410155,1422261662.958439,1153237228.6947014
7.0,26543186.842410155,1195505312.9035463,891042269.9003026
8.0,26543186.842410155,1013865065.4558764,761105578.1337625
9.0,26543186.842410155,859243875.7865875,624062880.970735
10.0,26543186.842410155,761620724.9356163,580356635.3299168
11.0,26543186.842410155,638973316.373027,456192626.1841644
12.0,26543186.842410155,543670957.9686744,370004494.18148047
13.0,26543186.842410155,485823207.40989137,359412186.2512326
14.0,26543186.842410155,388662688.0142763,281148499.3996314
15.0,26543186.842410155,362013316.39753264,257116907.87848496
16.0,26543186.842410155,335426965.9621776,250997001.4893947
17.0,26543186.842410155,310009292.5524013,216943731.24873894
18.0,26543186.842410155,292179044.9169239,211215503.53772017
19.0,26543186.842410155,214205199.13903028,103777561.58097452
20.0,26543186.842410155,207173738.874179,106915847.66815367
21.0,26543186.842410155,184368204.5095476,112073932.31538211
22.0,26543186.842410155,159972540.9684803,104864640.81010781
23.0,26543186.842410155,133524805.13354129,92769795.76820959
24.0,26543186.842410155,120552341.5187372,79875024.68060334
25.0,24898011.483420897,96542717.36905515,69461732.4430516
26.0,24898011.483420897,83365566.12717229,60874108.545433044
27.0,21631014.9474375,66449366.38902764,44798689.72678979
28.0,20471170.745395508,60929076.778001525,41509351.365511835
29.0,8409580.21,53222931.113583304,39830959.980408266
30.0,8409580.21,50423361.454182,39499075.59434499
31.0,8409580.21,47904603.964183055,39585567.54297724
32.0,8409580.21,45177520.24093092,36374260.78585525
33.0,8409580.21,39368620.83560894,25301470.923613362
34.0,8409580.21,36269777.98289775,22780854.882807564
35.0,8409580.21,33380859.940098256,17227745.196914714
36.0,8409580.21,32109050.507399302,17496451.453472205
37.0,8409580.21,30890762.525036648,17259606.278567858
38.0,8409580.21,29969962.91310493,17227936.454542574
39.0,8409580.21,28731477.732146382,17236370.97008234
40.0,8409580.21,27024891.14645553,16752464.704178177
41.0,8409580.21,24139308.32854479,13688726.02058305
42.0,8409580.21,23423767.34651775,13913192.376351913
43.0,8409580.21,22151099.555816818,10956360.055476502
44.0,8409580.21,21438811.515790507,10873249.484791525
45.0,8409580.21,21083236.345188793,10966167.463237787
46.0,8409580.21,20038490.200574573,8797836.16059929
47.0,8409580.21,19104144.750423107,8069780.166501435
48.0,8409580.21,18757321.342017557,7841760.838610379
49.0,8409580.21,17597767.705079015,6627241.464917387
50.0,8409580.21,4463019437.571563,3778554780.8613925
51.0,8409580.21,4113795555.4613323,3858760878.527405
52.0,8409580.21,2766713165.896393,2295825056.1660514
53.0,8409580.21,2241957662.204458,1669170240.1411748
54.0,8409580.21,1770692519.793127,1362435035.8913789
55.0,8409580.21,4463019437.571563,3778554780.8613925
56.0,8409580.21,4031051288.7918324,3841465977.9226685
57.0,8409580.21,2696168233.5932136,2228539716.9509134
58.0,8409580.21,2243133307.9325337,1699056715.5558474
59.0,8409580.21,1739137052.908162,1417936158.164586
60.0,8409580.21,1459403922.1471972,1146101565.0870433
61.0,8409580.21,1192089727.7570007,914766177.3334981
62.0,8409580.21,971884024.3111832,759189608.9428736
63.0,8409580.21,712805154.7143762,564523211.5493731
64.0,8409580.21,587016919.7557874,408757033.6242957
65.0,8409580.21,464096145.71862197,320012131.5319295
66.0,8409580.21,404211171.4334499,306986341.83566713
