generation,best_fitness,mean_fitness,std_fitness
0.0,26543186.842410155,4652271924.568039,3690420432.7164063
1.0,26543186.842410155,4361349891.610808,3765575680.75967
2.0,26543186.842410155,3139528558.7900863,2253360971.4122653
3.0,26543186.842410155,2464233846.0193295,1793096303.4842544
4.0,26543186.842410155,1960056752.3734672,1649216839.440698
5.0,26543186.842410155,1557918915.3605833,1294328718.5884085
6.0,26543186.842410155,1264338351.1705446,1100923710.0658393
7.0,26543186.842410155,988161473.7931998,864295912.2655901
8.0,26543186.842410155,779515569.4646866,704234666.43691
9.0,23125204.916875,694124929.3642838,687808886.3117425
10.0,23125204.916875,553741371.1199108,656363419.4001406
11.0,23125204.916875,511393545.5600893,604956080.7598406
12.0,23125204.916875,442141368.86479044,470434357.40260977
13.0,23125204.916875,407023383.61941856,434853069.62671494
14.0,23125204.916875,325449962.02389544,341709837.1672351
15.0,23125204.916875,319022936.796791,332118452.8698037
16.0,22728863.42504492,265521570.90130857,213677254.20623899
17.0,22728863.42504492,244430277.4668202,186951726.39913777
18.0,20499809.757861327,205409603.16974002,181073008.94447964
19.0,20499809.757861327,179141634.56956458,168749326.2389619
20.0,20430221.620668944,171930052.9152857,168209645.54608554
21.0,20430221.620668944,159657417.6376579,157980099.2141464
22.0,20430221.620668944,143978068.1465112,150137266.70022038
23.0,20430221.620668944,118070480.70764533,121472724.9356234
24.0,20292189.147541016,102287798.6566695,115857917.92753562
25.0,19120698.956296876,84717447.16823816,72149255.4185822
26.0,19120698.956296876,73026412.09239613,65534822.30114936
27.0,9148672.714,64019669.663059376,57293062.57014453
28.0,9148672.714,56646011.828987144,50262898.38351043
29.0,9148672.714,48334733.55055219,39628161.547022514
30.0,9148672.714,44620393.29906042,32270871.54428114
31.0,9148672.714,44196459.38289891,32469451.70404145
32.0,9148672.714,40675717.417154714,29285029.90873381
33.0,8999866.110000001,37626478.78431318,27707500.286827467
34.0,8999866.110000001,31998112.033088733,21329497.846679527
35.0,8999866.110000001,31091083.917825647,20392441.7915404
36.0,8999866.110000001,29773925.349379744,19881707.19604431
37.0,8928388.042,27014345.78349329,15390769.90639942
38.0,8587996.044,24945280.141203612,12620845.827593375
39.0,8587996.044,23104981.49799504,8604246.05116158
40.0,8587996.044,22932282.340114746,8548406.813967207
41.0,8587996.044,21844434.221806403,7754298.104721563
42.0,8420966.61,20713852.042744707,8100892.134406935
43.0,8420966.61,20118228.309258047,7935746.129073045
44.0,8420966.61,19282943.82873469,7967164.968957842
45.0,8420966.61,18710812.695896894,8144909.851425851
46.0,8420966.61,17699631.6876838,8390394.6648195
47.0,8420966.61,17556619.550525,8281588.113885798
48.0,8420966.61,16353872.216978045,7839971.412577202
49.0,8420966.61,15863804.886837207,7305215.032945265
50.0,8420966.61,15101985.792083848,6881956.726551836
51.0,8420966.61,14681877.524442755,6688567.277102085
52.0,8420966.61,14243677.970804043,6369006.407063049
53.0,8420966.61,13814855.439118886,5993057.888282329
54.0,8420966.61,13095837.094226018,5305466.855000861
55.0,8321741.704000001,12388995.37454705,5059310.900355266
56.0,8321741.704000001,12137941.006195372,4938895.271606716
57.0,8321741.704000001,11873614.971963692,4707714.017958675
58.0,8321741.704000001,11852275.777683692,4719505.7999742115
59.0,8321741.704000001,11647232.752815878,4609220.9893063
60.0,8321741.704000001,11401722.578344354,4410393.665607365
61.0,8321741.704000001,11177853.088512773,4263260.377289456
62.0,8198968.971999999,10943403.091870546,4115855.2447725586
63.0,8198968.971999999,10742310.935498163,3964857.3067506994
64.0,8198968.971999999,10490898.382219492,3777535.007725887
65.0,8198968.971999999,10472141.106219493,3785073.18844571
66.0,8198968.971999999,10459997.997442637,3788571.4753876547
67.0,8198968.971999999,10004469.764097951,3400480.044528854
68.0,8198968.971999999,9763623.471701289,3124430.753699366
69.0,8198968.971999999,9645158.97344369,2771239.1483516577
70.0,8198968.971999999,9403582.196506288,2387069.2110497383
71.0,8198968.971999999,9351192.32462629,2395940.986624135
72.0,8198968.971999999,8740854.349679999,316814.7144916569
73.0,8165471.614,8733918.268279998,325176.9885630116
74.0,8165471.614,8723363.690879999,332177.1404236658
75.0,8165471.614,8663481.34508,292775.81899713475
76.0,7992851.384000001,8583484.595959999,302875.3735628784
77.0,7992851.384000001,8547829.15084,300673.2170798247
78.0,7992851.384000001,8508137.94968,244120.77618625417
79.0,7992851.384000001,8458742.888640001,243674.15484171998
80.0,7992851.384000001,8452917.606239999,236267.08686577252
81.0,7992851.384000001,8439778.250319999,246121.71502743743
82.0,7992851.384000001,8422512.843439998,245717.19233411385
83.0,7992851.384000001,8381028.74772,229793.85249121647
84.0,7992851.384000001,8363801.898239999,232902.86460898267
85.0,7992851.384000001,8333421.9693599995,221440.28721979063
86.0,7992851.384000001,8317493.363960001,227528.35005492967
87.0,7815914.552,8312698.88212,235385.7073559098
88.0,7815914.552,8291858.45052,210103.73848535854
89.0,7815914.552,8248655.4372000005,212772.10326620284
90.0,7815914.552,8242011.567639999,207256.5269852923
91.0,7815914.552,8221969.28464,210661.77798697285
92.0,7815914.552,8205743.64576,210097.6900090708
93.0,7815914.552,8180319.99028,208922.45443051975
94.0,7815914.552,8152828.9803599985,171007.87720061754
95.0,7815914.552,8149130.5852,169361.98155424418
96.0,7767637.924000001,8108970.187039998,167268.4034089193
97.0,7767637.924000001,8097856.740719999,164802.84042419284
98.0,7462883.774,8062105.278119998,166064.2814933137
99.0,7462883.774,8048948.075799999,163256.10264103327
100.0,7462883.774,8039124.66612,152098.51570155335
101.0,7462883.774,8024824.842959999,167824.86139848552
102.0,7462883.774,8019827.060319998,167204.19642555658
103.0,7462883.774,7988635.007159999,168591.68546096285
104.0,7462883.774,7978389.506799999,164267.3243984023
105.0,7462883.774,7966690.551679999,161487.47596925416
106.0,7462883.774,7954974.752359998,164080.3166892403
107.0,7462883.774,7951425.409519999,163627.35315922447
108.0,7462883.774,7945850.244999999,162093.56368108577
109.0,7462883.774,7935378.758359999,159433.27448598162
110.0,7462883.774,7934104.076079999,158144.40579617725
111.0,7462883.774,7930063.610639999,159284.68503736428
112.0,7462883.774,7929308.836919999,159377.56809933324
113.0,7462883.774,7924128.222719998,158258.9974999915
114.0,7462883.774,7906179.8745599985,152801.62579484496
115.0,7462883.774,7892850.399959999,154639.5424009407
116.0,7462883.774,7879763.583679999,149114.21701973863
117.0,7462883.774,7871209.593399999,146395.44964234676
118.0,7462883.774,7865972.82832,146292.7080067038
119.0,7394706.01,7851992.593119999,159830.29862000473
120.0,7394706.01,7837775.555,166568.89137787677
121.0,7394706.01,7833772.22392,169201.87608158888
122.0,7394706.01,7828385.812479999,166972.1051808187
123.0,7274129.804,7804497.51184,183667.78048987442
124.0,7274129.804,7802312.97132,183374.18695059887
125.0,7274129.804,7788548.26624,181717.7894151126
126.0,7274129.804,7784560.0185199985,181812.2245464364
127.0,7274129.804,7781137.92944,179635.3915682739
128.0,7274129.804,7775003.143319999,176051.99230707748
129.0,7274129.804,7742919.875279998,182184.98218630088
130.0,7274129.804,7720437.646199998,157935.0201683948
131.0,7274129.804,7714949.801559999,151846.33570283325
132.0,7274129.804,7714949.801559999,151846.33570283325
133.0,7274129.804,7699772.640639999,154637.70785782617
134.0,7274129.804,7697843.340039999,156384.13642464502
135.0,7274129.804,7697808.658399999,156352.754854976
136.0,7274129.804,7678695.068320001,158019.27332306077
137.0,7274129.804,7657864.738759999,154729.3827950574
138.0,7274129.804,7648480.690239999,153055.39153412005
139.0,7274129.804,7632627.943279998,144596.1632557143
140.0,7264899.63,7626832.046599998,153155.95809147274
141.0,7264899.63,7605914.153959999,145450.6192669551
142.0,7264899.63,7597087.94852,142438.75202984843
143.0,7264899.63,7592408.776159999,138875.52259496308
144.0,7264899.63,7584669.690919999,142848.26301378253
145.0,7264899.63,7580062.1452399995,134921.0838714297
146.0,7264899.63,7558984.545400001,134043.40339631506
147.0,7264899.63,7552492.5866,139053.72455134522
148.0,7264899.63,7539369.034039999,128157.21141970427
149.0,7264899.63,7524623.15028,129553.29269004644
150.0,7264899.63,7520300.287439999,123453.89616280147
151.0,7264899.63,7515566.78104,123913.15320902597
152.0,7264899.63,7504229.837400001,124943.33127748668
153.0,7264899.63,7486232.780119999,122516.76774603345
154.0,7264899.63,7479356.41216,115263.54649657967
155.0,7227642.069999998,7472653.67416,117124.71962236663
156.0,7227642.069999998,7458811.9786,123743.65755005444
157.0,7179212.743999999,7451976.3864,129429.34026417993
158.0,7179212.743999999,7446302.81108,125216.21148100209
159.0,7179212.743999999,7439898.52488,124518.50010833477
160.0,7179212.743999999,7436929.1897599995,121569.77518299432
161.0,7179212.743999999,7424657.63896,118526.13731903495
162.0,7179212.743999999,7417021.36936,118940.2915352251
163.0,7179212.743999999,7404724.58824,117677.24791580923
164.0,7076830.984,7397428.6688399995,126165.57715638517
165.0,7076830.984,7379716.11864,130046.71300835774
166.0,7076830.984,7375247.811439999,127691.07865415765
167.0,7076830.984,7372979.580560002,126010.02045298289
168.0,7076830.984,7364270.525800001,130927.27719225561
169.0,6992370.112,7327552.297080001,140936.63258988
170.0,6992370.112,7307024.1056,140849.17519098372
171.0,6992370.112,7296359.69252,143183.94000387855
172.0,6885320.884,7282722.945959999,152745.45331600346
173.0,6885320.884,7267587.92312,153924.4011656322
174.0,6885320.884,7245357.830800001,147013.71989153608
175.0,6885320.884,7226558.15124,128477.82183781617
176.0,6885320.884,7221585.718359998,128301.08786989446
177.0,6885320.884,7211827.7736,131356.83165722823
178.0,6885320.884,7200287.524,133858.18380716746
179.0,6885320.884,7192037.9313199995,132581.96732252903
180.0,6885320.884,7177166.6882,127384.1715190262
181.0,6885320.884,7164991.55208,122631.23923843566
182.0,6885320.884,7161136.5059199985,120016.89463391842
183.0,6885320.884,7153784.74612,119617.45381679707
