generation,best_fitness,mean_fitness,std_fitness
0.0,216289065.0,235995926.42323485,18773565.01903893
1.0,209598927.0,228540111.4769092,8221027.072947126
2.0,208101748.0,224020476.00109863,6618548.665247931
3.0,208101748.0,220548072.42,5471903.668772779
4.0,205195777.0,218162866.9,5631092.069006215
5.0,204267117.0,216145307.4,5404864.672130162
6.0,204267117.0,214252419.36,4918686.280486987
7.0,204267117.0,212734012.72007325,4540336.995338298
8.0,201340340.0,211503330.00007325,4465290.404830616
9.0,200669333.0,210229488.30007324,4430129.818876599
10.0,200669333.0,208312329.72,3737595.9331484674
11.0,199875449.0,206878377.16,3749260.1595005076
12.0,198578266.0,205414258.9,3465027.8953578444
13.0,198578266.0,204234837.7629956,3207950.9094152306
14.0,191770957.0,202337678.54,3083255.521909154
15.0,191770957.0,200470712.76,3331690.523122444
16.0,191770957.0,199005219.64,2663924.4010950667
17.0,191770957.0,198163032.02,2382123.66544272
18.0,191770957.0,196950172.76,2206203.847833292
19.0,191366851.0,196544073.78,2104821.2802146818
20.0,191213621.0,195762177.72,2086292.017970831
21.0,191213621.0,194871898.82,2158679.020831005
22.0,189122526.0,194125827.48,2084980.032493647
23.0,187862177.0,193072738.34,2239425.8842223077
24.0,187811492.0,192717458.28,2197985.1080070315
25.0,187811492.0,191635260.96,2135917.9043248547
26.0,187093578.0,191061642.5,1989372.2167576307
27.0,187041482.0,190042367.32,1753847.5311389808
28.0,185005528.0,189175956.06,1379231.2072885882
29.0,184057962.0,188615532.02,1478824.1591294282
30.0,183827356.0,187735691.7,1697946.8401972454
31.0,183792331.0,187007291.72,1773789.247382947
32.0,183540736.0,186399294.22,1634275.6425968697
33.0,182528154.0,185830716.64,1668016.4988230395
34.0,182528154.0,185450643.32,1493693.5129270856
35.0,182494671.0,184995658.64,1352176.3987266566
36.0,181862364.0,184433850.12,1096838.678315378
37.0,180702354.0,184178629.2,1153514.201374114
38.0,180702354.0,183855873.64,1257469.0509149998
39.0,180702354.0,183662298.7,1227067.5249091592
40.0,180702354.0,183426402.96,1178633.811888221
41.0,180702354.0,183269462.34,1099167.9246543287
42.0,180631469.0,183084858.84,1046424.1094629149
43.0,180631469.0,182893826.86,1046175.4458071938
44.0,180631469.0,182622565.82,1018235.1024602853
45.0,180405055.0,182206825.88,939787.5698048286
46.0,180405055.0,181982196.28,951006.0802019731
47.0,179544703.0,181610783.94,802123.6996610787
48.0,179544703.0,181377616.68,842001.722731811
49.0,179544703.0,181176119.86,714100.8551586536
50.0,179544703.0,180873605.02,733705.9310137132
51.0,179544703.0,180683473.18,644537.0892054759
52.0,179278697.0,180428466.34,650096.1050224685
53.0,178989180.0,180207172.9,583969.9670160873
54.0,178989180.0,180089460.56,554484.8325309957
55.0,178981500.0,179926565.94,484449.70393828955
56.0,178862520.0,179762434.24,455979.42772434634
57.0,178412199.0,179661382.54,461612.9780597686
58.0,178412199.0,179503358.78,437811.59690256213
59.0,178247234.0,179410401.26,445116.1215724638
60.0,178247234.0,179313082.52,435688.09134789254
61.0,178247234.0,179228549.5,409182.7085736273
62.0,178247234.0,179128978.74,369102.008258303
63.0,178052193.0,179050121.34,366247.5938227914
64.0,178052193.0,178970241.6,341993.21853785345
65.0,178052193.0,178872664.18,310578.91842787334
66.0,178052193.0,178835336.24,311359.87299956044
67.0,178052193.0,178748761.18,313972.02892962866
68.0,178052193.0,178677495.84,325643.47173461714
69.0,177909302.0,178599258.4,306841.1960249145
70.0,177909302.0,178539359.12,263184.00494396617
71.0,177873228.0,178483702.54,258971.4792377114
72.0,177873228.0,178452904.16,254433.69977110813
73.0,177873228.0,178397043.22,241488.94983814808
74.0,177873228.0,178343667.4,219425.8444660519
75.0,177841507.0,178298277.62,219669.76059019956
76.0,177698004.0,178250345.88,232387.1867408046
77.0,177698004.0,178219093.12,210197.5601390882
78.0,177698004.0,178161239.92,211734.93293416084
79.0,177673440.0,178101170.66,205161.87257076887
80.0,177673440.0,178058631.76,198553.61897518364
81.0,177585667.0,178008303.32,206014.87762056798
82.0,177494619.0,177954382.16,194119.86852564683
83.0,177277675.0,177901310.58,213153.41768886463
84.0,177277675.0,177871044.8,190301.23404812696
85.0,177277675.0,177839465.7,186118.7895179044
86.0,177277675.0,177799894.26,172254.9193425616
87.0,177277675.0,177765879.98,167823.3316885933
88.0,177262337.0,177719278.96,160121.98418105615
89.0,177262337.0,177686291.48,157855.6981666788
90.0,177262337.0,177652822.72,155416.39611547295
91.0,177262337.0,177640028.04,147869.97453316342
92.0,177183805.0,177602238.2,165314.20759922604
93.0,177183805.0,177563934.6,166304.86056576937
94.0,177183805.0,177531628.88,164808.20507773757
95.0,177183805.0,177492836.32,161929.28881637688
96.0,177064903.0,177453864.82,166246.57241455416
97.0,177064903.0,177405349.7,161571.09909699197
98.0,177064903.0,177363792.98,151856.63945254288
99.0,177064903.0,177345320.18,148121.13613130167
100.0,177064903.0,177306757.36,107156.39974033467
101.0,177064903.0,177298809.7,108944.76269656105
102.0,177064903.0,177279368.24,105627.25561701582
103.0,177064903.0,177265248.56,104350.10182595128
104.0,177064903.0,177254689.78,98596.90604948819
105.0,177064903.0,177240753.94,94734.99254877471
106.0,177064903.0,177223907.68,87328.89871616154
107.0,177064903.0,177194083.98,79868.96624083474
108.0,177064903.0,177183561.92,82972.42967199165
109.0,177064903.0,177160445.42,81500.51874904601
110.0,177064903.0,177146335.44,79354.25154184495
111.0,177064903.0,177127111.14,69044.74714386606
112.0,177064903.0,177108479.54,60774.345391854295
113.0,177064903.0,177104453.56,57101.879149870365
114.0,177064903.0,177086201.06,44040.83524748821
115.0,177064903.0,177078086.52,32676.216230304268
116.0,177064903.0,177072454.32,25609.046428510374
117.0,177064903.0,177070535.2,22292.889834204987
118.0,177064903.0,177068657.8,18394.688172404552
119.0,177064903.0,177068657.8,18394.688172404552
120.0,177064903.0,177068657.8,18394.688172404552
121.0,177064903.0,177068657.8,18394.688172404552
122.0,177064903.0,177066780.4,13141.800000000001
123.0,177064903.0,177066780.4,13141.800000000001
124.0,177064903.0,177066780.4,13141.800000000001
125.0,177064903.0,177066780.4,13141.800000000001
126.0,177064903.0,177064903.0,0.0
127.0,177064903.0,177064903.0,0.0
128.0,177064903.0,177064903.0,0.0
129.0,177064903.0,177064903.0,0.0
130.0,177064903.0,177064903.0,0.0
131.0,177064903.0,177064903.0,0.0
132.0,177064903.0,177064903.0,0.0
133.0,177064903.0,177064903.0,0.0
134.0,177064903.0,177064903.0,0.0
135.0,177064903.0,177064903.0,0.0
136.0,177064903.0,177064903.0,0.0
137.0,177064903.0,177064903.0,0.0
138.0,177064903.0,177064903.0,0.0
139.0,177064903.0,177064903.0,0.0
140.0,177064903.0,177064903.0,0.0
141.0,177064903.0,177064903.0,0.0
142.0,177064903.0,177064903.0,0.0
143.0,177064903.0,177064903.0,0.0
144.0,177064903.0,177064903.0,0.0
145.0,177064903.0,177064903.0,0.0
146.0,177064903.0,177064903.0,0.0
147.0,177064903.0,177064903.0,0.0
148.0,177064903.0,177064903.0,0.0
149.0,177064903.0,177064903.0,0.0
150.0,177064903.0,177064903.0,0.0
151.0,177064903.0,177064903.0,0.0
152.0,177064903.0,177064903.0,0.0
153.0,177064903.0,177064903.0,0.0
154.0,177064903.0,177064903.0,0.0
155.0,177064903.0,177064903.0,0.0
156.0,177064903.0,177064903.0,0.0
157.0,177010359.0,177063812.12,7636.159999999999
158.0,177010359.0,177063812.12,7636.159999999999
159.0,177010359.0,177063812.12,7636.159999999999
160.0,177010359.0,177063812.12,7636.159999999999
161.0,177010359.0,177063812.12,7636.159999999999
162.0,177010359.0,177063812.12,7636.159999999999
163.0,177010359.0,177063812.12,7636.159999999999
164.0,177010359.0,177063812.12,7636.159999999999
165.0,177010359.0,177063812.12,7636.159999999999
166.0,177010359.0,177062721.24,10688.397482429255
167.0,177010359.0,177060539.48,14797.416263983381
168.0,177010359.0,177060539.48,14797.416263983381
169.0,177010359.0,177059448.6,16363.2
170.0,177010359.0,177057266.84,18926.060643842397
171.0,177010359.0,177055085.08,20955.12050439224
172.0,177010359.0,177051812.44,23294.82224715183
173.0,177010359.0,177048539.8,24995.200870567132
174.0,177010359.0,177046358.04,25837.97122140978
175.0,177010359.0,177041994.52,26920.655215087172
176.0,177010359.0,177036540.12,27250.17366597138
177.0,177010359.0,177032176.6,26720.99370607313
178.0,177010359.0,177029994.84,26181.120000000003
179.0,177010359.0,177025631.32,24490.19526050374
180.0,177010359.0,177020176.92,20955.12050439224
181.0,177010359.0,177017995.16,18926.060643842397
182.0,177010359.0,177015813.4,16363.2
183.0,177010359.0,177014722.52,14797.416263983383
184.0,177010359.0,177013631.64,12953.482295907923
185.0,177010359.0,177012540.76,10688.397482429255
186.0,177010359.0,177012540.76,10688.397482429255
187.0,177010359.0,177011449.88,7636.159999999998
188.0,177010359.0,177010359.0,0.0
189.0,177010359.0,177010359.0,0.0
190.0,177010359.0,177010359.0,0.0
191.0,177010359.0,177010359.0,0.0
192.0,177010359.0,177010359.0,0.0
193.0,177010359.0,177010359.0,0.0
194.0,177010359.0,177010359.0,0.0
195.0,177010359.0,177010359.0,0.0
196.0,177010359.0,177010359.0,0.0
197.0,177010359.0,177010359.0,0.0
198.0,177010359.0,177010359.0,0.0
199.0,177010359.0,177010359.0,0.0
200.0,177010359.0,177010359.0,0.0
201.0,177010359.0,177010359.0,0.0
202.0,177010359.0,177010359.0,0.0
203.0,177010359.0,177010359.0,0.0
204.0,177010359.0,177010359.0,0.0
205.0,177010359.0,177010359.0,0.0
206.0,177010359.0,177010359.0,0.0
207.0,177010359.0,177010359.0,0.0
208.0,177010359.0,177010359.0,0.0
209.0,177010359.0,177010359.0,0.0
210.0,177010359.0,177010359.0,0.0
211.0,177010359.0,177010359.0,0.0
212.0,177010359.0,177010359.0,0.0
213.0,177010359.0,177010359.0,0.0
214.0,177010359.0,177010359.0,0.0
215.0,177010359.0,177010359.0,0.0
216.0,177010359.0,177010359.0,0.0
217.0,177010359.0,177010359.0,0.0
218.0,177010359.0,177010359.0,0.0
219.0,177010359.0,177010359.0,0.0
220.0,177010359.0,177010359.0,0.0
221.0,177010359.0,177010359.0,0.0
222.0,177010359.0,177010359.0,0.0
223.0,177010359.0,177010359.0,0.0
224.0,177010359.0,177010359.0,0.0
225.0,177010359.0,177010359.0,0.0
226.0,177010359.0,177010359.0,0.0
227.0,177010359.0,177010359.0,0.0
228.0,177010359.0,177010359.0,0.0
229.0,177010359.0,177010359.0,0.0
230.0,177010359.0,177010359.0,0.0
