generation,best_fitness,mean_fitness,std_fitness
0.0,212117375.0,240195701.8799951,30606264.004079826
1.0,212117375.0,232769464.9930078,23438351.960618548
2.0,212117375.0,223506317.92,7104316.274541711
3.0,206985627.0,220243540.82,5846660.968431516
4.0,206985627.0,218138747.96,5181682.394022972
5.0,205374434.0,215001893.24,5565321.922027675
6.0,203253458.0,212615785.48,5008013.840586462
7.0,199113099.0,210945947.06,4833511.800666056
8.0,194028641.0,208377664.38,4771326.446977456
9.0,194028641.0,207013424.16,4633867.467979763
10.0,194028641.0,204980268.34,3547444.766916569
11.0,194028641.0,203907439.86,3450326.127500089
12.0,194028641.0,202350444.32,3308309.076087677
13.0,194028641.0,201175355.62,2911203.4476134907
14.0,194028641.0,200166608.64,2634091.1715197614
15.0,194028641.0,199225752.76,2464535.041294163
16.0,191532589.0,198295573.26,2390832.340374111
17.0,191532589.0,197451059.5,2466945.372518348
18.0,190621170.0,196773480.76,2564284.135048927
19.0,190621170.0,195517247.72,2671509.2017443622
20.0,190621170.0,194489647.54,2406986.422472393
21.0,190621170.0,193896834.28,2170891.1615646607
22.0,188915926.0,193103538.26,2032667.7608443226
23.0,187386098.0,192461600.88,2339870.546434718
24.0,187252222.0,191524588.84,2269116.3401610446
25.0,187252222.0,191025713.18,2133170.601680538
26.0,186342004.0,190424264.96,1876245.1207213835
27.0,186019612.0,189934789.7,1751996.6204674284
28.0,185597976.0,189311485.28,1679453.2299009704
29.0,185597976.0,188866970.44,1555388.614871977
30.0,185359593.0,188664777.98,1527173.5085835597
31.0,184720419.0,188249444.8,1576421.4995544562
32.0,184227804.0,187516618.66,1477416.1868795077
33.0,184227804.0,187151595.1,1405961.5082297274
34.0,184227804.0,186715279.68,1336044.2682287656
35.0,183962317.0,186360446.42,1339370.0242996344
36.0,183962317.0,186132924.64,1137715.9306670846
37.0,183881746.0,185921275.42,1185345.3195395188
38.0,183161073.0,185525906.9,1038274.654315538
39.0,183161073.0,185209990.22,1005627.7480818096
40.0,183161073.0,184962758.64,966172.8283985793
41.0,182627900.0,184730997.7,958099.4098736154
42.0,182402697.0,184520599.2,820365.988369947
43.0,181878184.0,184272458.52,893802.6361485457
44.0,181188749.0,183889898.1,899995.2231588621
45.0,181188749.0,183644212.9,921055.7459776091
46.0,181188749.0,183269229.1,987239.1671912385
47.0,181019104.0,182889987.28,985619.8658002189
48.0,181019104.0,182691159.02,868695.0609710518
49.0,181019104.0,182468540.86,785862.5888572634
50.0,181019104.0,182200884.06,636831.0828424257
51.0,180298517.0,181925778.18,672555.6635579746
52.0,180298517.0,181751744.46,616106.8604214763
53.0,179625788.0,181564860.92,706889.925506704
54.0,179625788.0,181457883.88,683315.9296875389
55.0,179504793.0,181327822.3,724592.2974853722
56.0,179504793.0,181081118.58,730777.4231659893
57.0,179504793.0,180908125.48,734932.1330802793
58.0,179504793.0,180820395.42,719504.9387927533
59.0,179467970.0,180606507.26,682629.0482697849
60.0,179409073.0,180489830.6,630136.2341299856
61.0,179409073.0,180424348.0,603771.4525815542
62.0,179088085.0,180300257.94,571902.5781793403
63.0,179088085.0,180160807.06,505831.2104508938
64.0,178996843.0,179990586.64,489408.73918882
65.0,178996843.0,179896780.14,478887.4756249117
66.0,178989790.0,179844614.38,458744.6598951051
67.0,178989790.0,179748079.56,378860.2755483431
68.0,178989790.0,179670878.14,354689.0253304723
69.0,178989790.0,179599249.4,297601.37100598175
70.0,178311581.0,179478978.56,372896.840159804
71.0,178311581.0,179451015.76,360280.9994919277
72.0,178311581.0,179385093.68,356360.6048629079
73.0,178311581.0,179301651.28,375719.1384047419
74.0,178082855.0,179209689.88,392920.85736650025
75.0,177985354.0,179123036.02,394532.93970361917
76.0,177985354.0,179048280.2,369603.43069863407
77.0,177797775.0,178981204.04,397512.31803540175
78.0,177797775.0,178858224.14,393247.76097707206
79.0,177797775.0,178774519.98,376967.4032322418
80.0,177797775.0,178673205.9,395946.2225494392
81.0,177797775.0,178595003.34,379992.50157415523
82.0,177295282.0,178475392.82,385126.4513123808
83.0,177295282.0,178403415.14,366684.1294892927
84.0,177295282.0,178332223.26,332744.5394492183
85.0,177295282.0,178243729.12,304720.49811272236
86.0,177295282.0,178186477.06,330437.514995886
87.0,177295282.0,178093441.98,338115.291859714
88.0,177295282.0,178036941.9,330574.835202152
89.0,177295282.0,177980123.46,303357.2033318616
90.0,177295282.0,177934160.32,272476.5891960951
91.0,177272336.0,177846187.72,287625.63432601345
92.0,177272336.0,177796463.66,275117.3750804998
93.0,177168467.0,177754722.12,266426.3620135695
94.0,177168467.0,177716730.86,253852.42840603358
95.0,177168467.0,177636914.76,248590.06398362425
96.0,177168467.0,177593847.4,217067.2619299373
97.0,177168467.0,177555975.54,189990.38326517583
98.0,177136134.0,177510681.26,177350.31269392336
99.0,177136134.0,177497155.06,173952.19445001666
100.0,177136134.0,177433641.84,142212.3295247441
101.0,177136134.0,177418616.42,132161.28180720555
102.0,177136134.0,177406152.68,124840.91535188934
103.0,177136134.0,177385987.96,120528.29124366776
104.0,177136134.0,177360455.54,119406.11020818156
105.0,177136134.0,177335836.6,103205.43506598865
106.0,177136134.0,177324494.16,101140.36790784578
107.0,177112573.0,177308206.96,96971.7986249528
108.0,177061038.0,177297723.0,98106.91255074741
109.0,177061038.0,177289308.48,98141.63694400864
110.0,177061038.0,177274910.78,87192.2055826758
111.0,177061038.0,177267925.48,82033.24248626041
112.0,177061038.0,177253198.26,81531.06331768524
113.0,177061038.0,177244696.68,75993.44707024153
114.0,177061038.0,177242372.6,74617.72603771841
115.0,177061038.0,177234270.3,75475.7703648661
116.0,177061038.0,177231141.3,77370.50933327245
117.0,177061038.0,177222782.4,73280.12686233562
118.0,177061038.0,177220498.18,75966.21183886689
119.0,177061038.0,177219234.28,76971.50736474893
120.0,177061038.0,177194582.74,79188.95954306005
121.0,177010359.0,177180129.38,78345.31429304245
122.0,177010359.0,177176994.28,80131.29747559065
123.0,177010359.0,177165481.54,75624.38312375448
124.0,177010359.0,177150958.76,71385.0126941391
125.0,177010359.0,177145135.14,75875.98238257215
126.0,177010359.0,177135494.14,72337.12311227478
127.0,177010359.0,177128436.68,70994.55556123723
128.0,177010359.0,177116805.48,69661.55982727921
129.0,177010359.0,177111965.96,68209.87295105013
130.0,177010359.0,177109245.6,64466.93607051602
131.0,177010359.0,177099995.94,63981.12300433933
132.0,177010359.0,177096279.18,63596.377417488184
133.0,177010359.0,177096279.18,63596.377417488184
134.0,177010359.0,177085807.46,56451.208735760476
135.0,177010359.0,177082555.84,55490.7586876806
136.0,177010359.0,177082553.36,55491.550340483365
137.0,177010359.0,177077013.16,46715.85463559882
138.0,177010359.0,177071382.62,40712.276889847366
139.0,177010359.0,177068500.26,39227.366896497144
140.0,177010359.0,177068500.26,39227.366896497144
141.0,177010359.0,177063860.72,36243.58013609583
142.0,177010359.0,177062596.82,36977.95485404243
143.0,177010359.0,177057807.58,37286.15779137883
144.0,177010359.0,177055396.38,36240.59458888057
145.0,177010359.0,177054132.48,36684.55508261754
146.0,177010359.0,177054132.48,36684.55508261754
147.0,177010359.0,177052313.98,36735.69352522965
148.0,177010359.0,177049756.76,35762.69209025518
149.0,177010359.0,177045676.88,32553.02402029034
150.0,177010359.0,177045503.86,32427.143481355244
151.0,177010359.0,177044490.28,32716.49925529319
152.0,177010359.0,177042858.26,30429.206286599067
153.0,177010359.0,177041769.86,30598.458161162307
154.0,177010359.0,177039742.7,30931.723205311402
155.0,177010359.0,177038654.3,30989.0076648156
156.0,177010359.0,177036322.86,30827.462139469088
157.0,177010359.0,177035521.62,29318.942493814473
158.0,177010359.0,177035521.62,29318.942493814473
159.0,177010359.0,177031375.36,27046.597971471383
160.0,177010359.0,177029348.2,26643.605071386268
161.0,177010359.0,177028259.8,26283.113194597023
162.0,177010359.0,177025544.26,24499.867614997434
163.0,177010359.0,177025544.26,24499.867614997434
164.0,177010359.0,177025544.26,24499.867614997434
