generation,best_fitness,mean_fitness,std_fitness
0.0,211240348.0,240879088.80971435,30587581.565016154
1.0,211240348.0,233228457.88936278,18353986.15259865
2.0,204072734.0,224084276.87195802,9060661.616696173
3.0,201259362.0,220027988.06442627,7381446.356272431
4.0,201259362.0,219091823.04,7223189.017154304
5.0,201259362.0,216931728.6474341,7985257.522833274
6.0,200219579.0,214638433.2056018,7338385.357371191
7.0,198319863.0,211677187.53251222,6032613.180472957
8.0,198319863.0,209284969.0669104,5755986.835051332
9.0,198319863.0,208066352.9869104,5107142.058833259
10.0,198319863.0,206415983.1469104,4614798.818265524
11.0,198319863.0,205052325.78,3741054.642260288
12.0,196252726.0,204117742.88,3165734.23841314
13.0,196252726.0,203051818.04,3119995.560737053
14.0,195601988.0,202434328.62,3213559.0839078086
15.0,195601988.0,201734985.12,3063365.8586129253
16.0,195601988.0,201282298.36,3115358.6755656353
17.0,195601988.0,200792758.14,2825055.6981
18.0,195601988.0,200225295.68,2649964.6254062667
19.0,194383879.0,199204061.24,2165772.489686334
20.0,193570765.0,198724071.3,2249402.5205618427
21.0,190730779.0,198106110.16,2349645.49751412
22.0,190730779.0,197879415.16,2262272.503230505
23.0,190730779.0,197453829.48,2109251.093867833
24.0,190730779.0,197146239.08,2225335.786546182
25.0,190730779.0,196706780.3,2225305.6336711436
26.0,190730779.0,196435705.4,2328302.4030247102
27.0,187470054.0,195606994.78,2545112.556249812
28.0,187470054.0,195050286.8,2469514.3098432133
29.0,187470054.0,194677795.24,2413350.748727607
30.0,187470054.0,194138528.86,2244781.26108704
31.0,187470054.0,193727245.76,2109824.905547383
32.0,187470054.0,193294763.46,2108336.5744112986
33.0,187470054.0,192750982.7,1892517.4561223919
34.0,187470054.0,192320615.88,1645209.6076643323
35.0,187470054.0,191827472.94,1750577.2086132094
36.0,187470054.0,191465192.52,1532697.3969381854
37.0,187470054.0,191032646.92,1324624.2873550197
38.0,187470054.0,190813952.58,1267824.666258329
39.0,187470054.0,190559964.76,1171090.9089588146
40.0,187470054.0,190287154.78,1111409.8090833514
41.0,187470054.0,190079876.88,1169678.9141306882
42.0,187198620.0,189872684.08,1168138.6264419106
43.0,187198620.0,189728783.26,1210091.2691724836
44.0,186037973.0,189510870.0,1282585.5923784892
45.0,186037973.0,189332891.7,1233442.2811509138
46.0,186037973.0,189032353.58,1347976.8228051118
47.0,183809080.0,188514432.64,1511401.4127991777
48.0,183809080.0,188300019.64,1435198.1197366691
49.0,183809080.0,187967322.46,1420625.8563536454
50.0,183809080.0,187492373.92,1306599.7075014804
51.0,183809080.0,187139495.04,1295182.8190196618
52.0,183809080.0,186832874.9,1365550.6716218076
53.0,183438397.0,186231288.48,1419520.7239551276
54.0,183438397.0,185946821.46,1275802.4435064578
55.0,183438397.0,185648387.84,1218443.2854529154
56.0,182959107.0,185238502.78,1069187.8831603974
57.0,182869155.0,185033358.4,1051056.6037544506
58.0,182869155.0,184920298.06,996114.5789378531
59.0,182869155.0,184770135.5,961421.8662644458
60.0,182869155.0,184625730.96,951549.2231254873
61.0,182869155.0,184493324.66,952668.2742722067
62.0,182869155.0,184298976.54,887442.0694747395
63.0,182869155.0,184179913.98,808957.9775567453
64.0,182458667.0,183933198.76,743206.9299822105
65.0,182458667.0,183920235.88,734032.069092288
66.0,182458667.0,183830781.22,652173.5979408026
67.0,182458667.0,183756621.8,629413.0585922729
68.0,182458667.0,183664111.78,619643.1260346004
69.0,181912613.0,183462633.4,654278.2724844224
70.0,181912613.0,183412601.26,636876.6246298825
