generation,best_fitness,mean_fitness,std_fitness
0.0,210942752.0,245619505.69366944,65335147.00597961
1.0,210942752.0,231103530.23943725,22517298.66986371
2.0,209232487.0,225214306.07260743,16207593.582898516
3.0,209232487.0,220248480.4,5678180.281950717
4.0,202820882.0,217524261.7,5218649.168369801
5.0,202820882.0,216266545.7381494,4772909.270435886
6.0,202820882.0,214217504.1,4347488.862576396
7.0,200733698.0,213067608.76,4584635.655266109
8.0,200733698.0,211303974.46,4294256.152310988
9.0,200733698.0,209946525.42,3918313.013789726
10.0,198077182.0,208211542.48,4071280.987965509
11.0,198077182.0,206851546.48,3630594.603428762
12.0,198077182.0,205500446.12,4011584.5221263957
13.0,198077182.0,204086994.64,3435019.0584885883
14.0,196029389.0,202598802.38,3143572.155243101
15.0,193516266.0,201639929.48,3002106.9194857553
16.0,191921685.0,200789486.0,3213182.058342496
17.0,191921685.0,199282347.1,2961831.400277215
18.0,191921685.0,198460508.58,3090851.00170676
19.0,191921685.0,197969342.02,3047717.50931389
20.0,191921685.0,197288519.42,2929130.256505962
21.0,191831292.0,196245609.78,2875467.494012793
22.0,191399863.0,195485826.08,2502048.6047603698
23.0,189535631.0,194678924.94,2526404.1556129963
24.0,189535631.0,194176371.18,2528298.4706196985
25.0,189535631.0,193979576.1,2467078.7674747906
26.0,189535631.0,193506668.34,2226819.9314237656
27.0,189535631.0,193039605.54,2109812.0613853284
28.0,185998160.0,192341818.28,2042965.7453998001
29.0,185998160.0,191935002.72,1698256.440462771
30.0,185998160.0,191641677.52,1569071.8039668195
31.0,185998160.0,191267619.64,1629201.708668939
32.0,185998160.0,191009650.08,1714067.753903326
33.0,185998160.0,190830010.0,1635356.999106336
34.0,185998160.0,190429019.18,1625496.2545608243
35.0,185998160.0,190076781.02,1542899.0947992613
36.0,185998160.0,189817473.28,1543658.8848384481
37.0,185998160.0,189396824.24,1589839.4679725945
38.0,185998160.0,189189696.96,1511219.489630887
39.0,185998160.0,188931292.24,1457397.8008601572
40.0,185645137.0,188616798.24,1481080.7433353195
41.0,185645137.0,188269071.16,1391608.451236832
42.0,185645137.0,187959981.62,1341151.3477095996
43.0,185645137.0,187776483.08,1260976.5218938035
44.0,185183630.0,187424106.72,1135053.5001079382
45.0,184874635.0,187156036.58,1191890.0635254425
46.0,184874635.0,187002938.5,1119547.516882392
47.0,183928403.0,186818993.06,1069194.3905646794
48.0,183928403.0,186661705.08,1062848.9924183367
49.0,183928403.0,186131967.26,991943.6914760194
50.0,183928403.0,185983051.58,995794.3627154571
51.0,183615256.0,185775932.46,1024677.3825212931
52.0,183615256.0,185639273.6,1018252.9638572528
53.0,183347180.0,185447169.12,1025976.6544645671
54.0,183175630.0,185301344.64,1004799.0460561108
55.0,183175630.0,185233965.64,975212.1047787041
56.0,183175630.0,185126868.12,929192.2861190926
57.0,183175630.0,185062623.1,925275.1056802998
58.0,183175630.0,184904366.58,885480.4484208128
59.0,183175630.0,184706007.7,830141.3009224935
60.0,183175630.0,184572647.9,789875.3311796046
61.0,182482809.0,184329792.42,779178.1331934333
62.0,181694499.0,184091112.28,934725.8863151065
63.0,181694499.0,184023326.0,923150.9471459367
64.0,181694499.0,183805231.34,872810.1893995649
65.0,181694499.0,183660505.58,832942.3641070754
66.0,181694499.0,183626251.44,838054.6428793569
67.0,181694499.0,183533272.26,850905.3949858776
68.0,181694499.0,183446092.08,820559.2193427562
69.0,181694499.0,183317737.0,817080.3176042854
70.0,181694499.0,183254970.44,833804.7320309991
71.0,180583153.0,183132455.74,910308.1905995752
72.0,180583153.0,183094578.42,896599.7941863268
73.0,180583153.0,182962405.3,881728.3880340534
74.0,180583153.0,182892974.64,857143.2095402206
75.0,180583153.0,182813592.66,836848.4417121803
76.0,180583153.0,182680315.86,818282.4741378984
77.0,180547156.0,182621128.62,845870.3095489495
78.0,180547156.0,182537601.32,892172.4983586401
79.0,180547156.0,182467071.32,889547.2171696888
80.0,180076141.0,182364239.58,955362.883672358
81.0,180076141.0,182246878.78,926120.737167985
82.0,180076141.0,182036703.12,876362.1101686822
83.0,180076141.0,181933428.52,813869.5690021894
84.0,180076141.0,181802092.72,740139.5658048025
85.0,180076141.0,181724363.44,759610.8977054808
86.0,179750581.0,181647479.82,756198.6706553693
87.0,179750581.0,181544531.9,698744.8172957922
88.0,179750581.0,181422169.58,654184.0018823784
89.0,179750581.0,181374586.54,625672.3766380679
90.0,179750581.0,181274456.52,590679.8025698267
91.0,179750581.0,181217045.82,530372.5244798297
