generation,best_fitness,mean_fitness,std_fitness
0.0,214804055.0,235029546.86703125,17615102.700834308
1.0,214804055.0,230545776.41120362,7834559.259499995
2.0,214804055.0,226854657.03625244,6677215.574884799
3.0,213198769.0,224510687.62,6290748.935159285
4.0,210498479.0,221454183.86,6145708.887505106
5.0,209342209.0,219160724.3,4952084.161494493
6.0,209342209.0,218189773.3,4580084.319365084
7.0,209342209.0,216887466.9212866,3855444.0998870395
8.0,208837321.0,215899265.52,3428936.1582462583
9.0,208837321.0,215333199.3,3278563.3098196364
10.0,208837321.0,214628088.7,2995004.8061541687
11.0,207650779.0,213775928.56,2779738.752221202
12.0,207650779.0,213419194.62,2688169.4900638754
13.0,200062412.0,211230848.72687012,4304596.402554133
14.0,200062412.0,210037077.8068701,4201916.163200036
15.0,199653584.0,208541022.4268701,4055109.616020798
16.0,198306831.0,206662955.06,3838239.2954182853
17.0,198306831.0,205962082.7,3474351.8522089394
18.0,198306831.0,205110986.56,3168441.5833518547
19.0,197459263.0,204479436.88,3260673.507277977
20.0,197459263.0,203633123.32,3165220.4721855093
21.0,197459263.0,202966093.6,3019704.533724556
22.0,197459263.0,202547954.3,2930570.478400526
23.0,196861400.0,201591017.84,2465487.444229513
24.0,196632827.0,201078809.1,2394961.7405216917
25.0,196269634.0,200722945.98,2376324.749277291
26.0,193488874.0,200191200.52,2500567.931928787
27.0,193488874.0,200102708.24,2471296.8623001287
28.0,193078270.0,199653715.88,2545884.133204672
29.0,193078270.0,199241385.0,2382861.9437106214
30.0,193078270.0,198993768.36,2455834.640670562
31.0,193078270.0,198613957.36,2433177.024971901
32.0,193078270.0,198353973.06,2325335.8908457365
33.0,193078270.0,198262245.72,2245684.6281480757
34.0,193078270.0,198246109.74,2226364.035911376
35.0,193078270.0,197988254.74,2273312.388637468
36.0,193078270.0,197655816.72,2015464.0812169393
37.0,193078270.0,197436274.54,2048638.1025129177
38.0,193078270.0,197270908.38,1965738.5479480622
39.0,193078270.0,197066218.34,2003408.3770469723
40.0,192595253.0,196802216.82,2094015.3363222505
41.0,192256169.0,196508356.6,2136160.0458770683
42.0,192256169.0,196243355.44,1954638.758902004
43.0,191372863.0,195942939.3,1930499.645119131
44.0,191372863.0,195492483.3,2012788.4664102308
45.0,191309295.0,195150174.22,1979592.5707694632
46.0,191309295.0,194779572.78,2008462.7857211826
47.0,187841559.0,194311701.1,2049211.0179013605
48.0,187841559.0,194083132.34,2041195.0225784758
49.0,187841559.0,193891041.22,1972060.2253325663
50.0,187841559.0,193444175.3,1876654.5159773682
51.0,187841559.0,193216917.9,1780651.8126310967
52.0,187841559.0,192969955.38,1835298.0957524574
53.0,187841559.0,192645145.68,1820815.0220661564
54.0,186555260.0,192214015.62,1886714.825153477
55.0,186555260.0,191992614.46,1880968.2231427114
56.0,186555260.0,191852803.06,1811788.732394088
57.0,186555260.0,191774020.76,1813934.3999862683
58.0,186555260.0,191664732.44,1797570.8335432922
59.0,186555260.0,191548066.04,1772868.276857849
60.0,186555260.0,191441111.66,1706870.209126946
61.0,186555260.0,191316571.84,1557185.135014207
62.0,186555260.0,191249365.8,1534134.9427544894
63.0,186555260.0,191162469.74,1616647.8177634582
64.0,186555260.0,191091958.06,1539055.2167547129
65.0,186555260.0,190988759.14,1535124.2774062562
66.0,186555260.0,190821424.04,1553071.402747394
67.0,186555260.0,190584729.86,1519826.120379881
68.0,186555260.0,190548648.36,1518624.2107070829
69.0,186555260.0,190493740.18,1493361.1900895066
70.0,186555260.0,190419200.94,1472202.2567011968
71.0,186555260.0,190267575.12,1468958.1092923603
72.0,186555260.0,190047777.94,1395425.5601366546
73.0,186555260.0,189858628.86,1350895.8163334879
74.0,186555260.0,189721235.36,1308876.6276430606
75.0,186555260.0,189592392.62,1335444.451961292
76.0,186555260.0,189538443.1,1292010.915921104
