generation,best_fitness,mean_fitness,std_fitness
0.0,213018127.0,247203196.83002198,63105239.02496592
1.0,213018127.0,234403116.4952368,22284431.536362626
2.0,212360341.0,228279978.14,7627108.8922897205
3.0,212360341.0,225467082.92,6390775.965355774
4.0,212360341.0,223576436.36,5836834.335947879
5.0,209411490.0,221259078.1,5813086.412869243
6.0,209411490.0,219706905.1823767,4710058.68008969
7.0,209411490.0,217972458.66,4045312.844243988
8.0,209283459.0,216967926.21699706,3955554.7557808775
9.0,208920859.0,215813281.41699708,3952965.088744999
10.0,207529724.0,214214800.88,3769209.8254290363
11.0,206743000.0,213611171.44,3900230.02887116
12.0,206743000.0,212834388.78,3023917.049418501
13.0,201846762.0,212337164.84,3301904.709167673
14.0,201846762.0,211551647.42,3136267.208181918
15.0,201846762.0,210821517.48,3016551.186020103
16.0,201846762.0,210512371.12,3054397.4534113705
17.0,201846762.0,209849798.74,2946488.8286704556
18.0,201846762.0,209162974.54,2820155.573523895
19.0,201846762.0,208595416.58,2478340.5781527045
20.0,201846762.0,207947369.56,2096778.1770651673
21.0,201846762.0,207814206.32,2132862.888653581
22.0,201846762.0,207507982.96,2160912.4829618065
23.0,201846762.0,207165690.0,2222053.057710216
24.0,201846762.0,206845647.38,2173750.8696325887
25.0,201464637.0,206770048.98,2173008.590107655
26.0,201464637.0,206501461.32,2001756.3366421843
27.0,197851683.0,206179225.0,2259836.7952385233
28.0,197851683.0,205963633.7,2261339.261164041
29.0,197851683.0,205628927.54,2277126.386582512
30.0,197851683.0,205118774.54,2554205.501443642
31.0,197851683.0,204772049.62,2304658.5220183046
32.0,197851683.0,204651031.6,2253541.07214903
33.0,197851683.0,204422133.52,2274822.175789908
34.0,195630887.0,203500588.14,2648717.5768811824
35.0,195630887.0,202556526.56,2930230.3127430663
36.0,195630887.0,202300241.52,2818389.2133309287
37.0,195630887.0,201843795.08,2658357.0198253267
38.0,195630887.0,201433374.02,2504426.5967528652
39.0,195630887.0,200921869.44,2473728.9715763703
40.0,195630887.0,200298329.96,2422293.9366992274
41.0,195630887.0,200068584.44,2372844.1334394817
42.0,192816578.0,199218625.14,2601442.541246445
43.0,191029836.0,198647403.72,2801896.711897746
44.0,191029836.0,197705139.2,2671520.387398367
45.0,191029836.0,197094168.94,2625147.065238094
46.0,191029836.0,196486258.62,2417282.385114647
47.0,190684850.0,196046218.54,2543400.4075116697
48.0,190684850.0,195769485.5,2509869.8869518256
49.0,190684850.0,195449562.14,2537153.962372579
50.0,189746767.0,194867110.44,2453758.7710807286
51.0,189746767.0,194549298.98,2409363.474464345
52.0,189746767.0,194459415.58,2345856.93738308
53.0,189746767.0,194222373.66,2207973.3927781885
54.0,188516820.0,193942787.82,2269052.791572983
55.0,188516820.0,193558743.6,2103650.9393666717
56.0,187436004.0,193253191.46,2168324.251155276
57.0,187436004.0,192996780.14,2086569.6129579383
58.0,187436004.0,192859903.08,1936839.5256280457
59.0,187436004.0,192801411.34,1923071.6974914647
60.0,187436004.0,192636783.28,1843978.306382112
61.0,187436004.0,192474439.24,1961551.135538868
62.0,187436004.0,192343749.62,1975807.3976391815
63.0,187436004.0,192169100.82,1830848.3966225786
64.0,187436004.0,191967046.84,1749719.5054564073
65.0,187436004.0,191788107.32,1754695.6174825244
66.0,187378928.0,191633129.02,1815902.7475364918
67.0,187378928.0,191536616.56,1826568.587032123
68.0,187378928.0,191325497.54,1869224.8629306343
69.0,187378928.0,191183309.12,1812593.3783359427
70.0,187378928.0,191092181.06,1715250.3314948804
71.0,187378928.0,190906325.0,1674918.249264602
72.0,187378928.0,190715394.5,1594567.538103874
73.0,185430242.0,190492604.62,1709402.8165188788
74.0,184765658.0,190335261.16,1880295.3952264988
75.0,184765658.0,190156209.94,1917639.276106624
76.0,184765658.0,190000131.4,1818129.6249435134
77.0,184765658.0,189919537.12,1883058.3578164394
78.0,184765658.0,189764578.98,1883855.4487843222
79.0,184765658.0,189584009.58,1792926.614821935
80.0,184765658.0,189378852.48,1723161.1438157288
