generation,best_fitness,mean_fitness,std_fitness
0.0,340200124.2075,8231907051.537856,17712495620.59133
1.0,340200124.2075,3409024125.564299,10340005816.603653
2.0,340200124.2075,2837162915.0909624,10380007701.32886
3.0,303751549.22125,1223683345.940194,994197859.8592094
4.0,107708028.36335938,933154264.000411,476665266.5445037
5.0,107708028.36335938,763916988.3904674,431856313.4426788
6.0,107708028.36335938,540020751.5286078,257693229.4567667
7.0,107708028.36335938,442965333.26667184,232055256.30207446
8.0,107708028.36335938,397612073.44080305,219329422.04950792
9.0,45602971.18496094,318068793.73708045,187897895.40494132
10.0,45602971.18496094,243840555.9835055,121029095.16235575
11.0,27360316.43839844,180561814.1279844,85429260.40527116
12.0,27360316.43839844,153160036.9702473,69420370.7622524
13.0,27360316.43839844,138643586.81507385,64677008.20557629
14.0,27360316.43839844,111797994.18507384,49612832.83923038
15.0,27360316.43839844,102178032.57700273,47863153.44618183
16.0,23548112.965717774,89700432.19346552,35708052.46717819
17.0,23548112.965717774,79983338.31062979,35173796.02361675
18.0,23548112.965717774,67312103.07203837,31461118.526009
19.0,19925148.60767578,61771824.27734149,30207473.32277609
20.0,19925148.60767578,54057112.683970995,25976692.915035285
21.0,8501547.1,48476975.43843661,25999415.782545727
22.0,8350340.179999999,42957053.90356094,20843528.64223485
23.0,8350340.179999999,39916381.8028625,17839302.540357813
24.0,8350340.179999999,35961930.33941309,16472916.216979055
25.0,8305658.64,32596852.35585654,15589750.853259968
26.0,8305658.64,30357825.182644337,12175881.683347674
27.0,8305658.64,28717210.403926272,11794133.188058043
28.0,8305658.64,26121136.23079981,11666979.426515821
29.0,8096065.679999999,23640483.13566436,11812684.974589998
30.0,8077797.02,22151050.717902347,11672782.875266483
31.0,8034726.26,20565999.103130564,10794038.44965654
32.0,7914419.079999999,17615192.842356347,9655342.675406622
33.0,7766119.12,14973501.154737206,7520495.302935563
34.0,7766119.12,14139526.036083985,6767338.97418914
35.0,7766119.12,13192897.776481248,6315011.483695321
36.0,7766119.12,11394345.424045313,5150771.717555246
37.0,7766119.12,9640985.34774365,3736761.865265237
38.0,7751622.9799999995,9183137.257131346,3229194.9218291477
39.0,7722881.42,9159977.150731348,3235641.6820376813
40.0,7617198.239999999,9122282.839931346,3244549.8748037973
41.0,7617198.239999999,8490028.050701562,1570693.2280093487
42.0,7617198.239999999,8439015.839501562,1575266.997624833
43.0,7617198.239999999,8396915.259708887,1552935.8348826203
44.0,7617198.239999999,8396915.259708887,1552935.8348826203
45.0,7376041.099999999,8358678.942108886,1562184.022008894
46.0,7376041.099999999,8106973.923199999,303824.2944284209
47.0,7376041.099999999,8072175.249600001,306190.9862024002
48.0,7376041.099999999,8052424.061999999,316413.40468970867
49.0,7086041.52,7980441.627199999,301590.1646430644
50.0,7086041.52,7955786.948,293487.65806102526
51.0,7086041.52,7950326.494399999,289494.73998379713
52.0,7086041.52,7908824.373199999,283639.5932543951
53.0,7086041.52,7879377.2792,273333.92252358387
54.0,7086041.52,7862221.813999999,272162.3432688174
55.0,7086041.52,7842737.7252,272544.9694747799
56.0,7086041.52,7841524.6764,273830.73316955584
57.0,7086041.52,7816973.830399998,251917.7129336446
58.0,7086041.52,7815132.957599998,252782.87380771473
59.0,7086041.52,7802888.125199999,254199.31867153573
60.0,7086041.52,7782403.242799998,250835.22941453857
61.0,7086041.52,7772477.880399998,237074.5600582229
62.0,7086041.52,7753480.389999999,224297.16960323142
63.0,7086041.52,7728220.7979999995,228519.8606352399
64.0,7086041.52,7722854.1308,231712.12851722274
65.0,7086041.52,7716461.2436,232703.30965644747
66.0,7086041.52,7693671.519599999,202013.67394220293
67.0,7086041.52,7675830.267200001,204324.32714336787
68.0,7086041.52,7665818.775200001,198689.15672411464
69.0,7086041.52,7662987.334,198329.02313656433
70.0,7086041.52,7635542.1312,190456.77685031638
71.0,7086041.52,7635542.1312,190456.77685031638
72.0,7086041.52,7632162.005600001,187738.16756165022
73.0,7086041.52,7627353.698399999,192590.99738858695
74.0,7086041.52,7620712.876,190333.27972209724
75.0,7086041.52,7604182.1816,183108.64109867057
76.0,7086041.52,7595755.2352,183058.60313174024
77.0,7086041.52,7594681.9991999995,183084.41344584266
78.0,7086041.52,7574678.840400001,163767.59579532346
79.0,7086041.52,7562984.9,153978.22011949407
80.0,7086041.52,7554862.4092,157700.01117092627
81.0,7086041.52,7548024.6712,146251.49901535772
82.0,7086041.52,7531946.676,152713.26069835745
83.0,7086041.52,7527734.52,153207.45696521754
84.0,7086041.52,7520945.7032,153733.75189686829
85.0,7086041.52,7509663.1824,150872.8642036762
86.0,7086041.52,7501044.119600001,142375.79163487285
87.0,7086041.52,7500915.3816,142439.50178956936
88.0,7086041.52,7497788.535599999,142876.1278175824
89.0,7086041.52,7484466.520400001,142479.27408333856
90.0,7086041.52,7478301.11,141159.49870394255
91.0,7086041.52,7457984.5588,150644.37201784065
92.0,7054989.38,7446460.6856,154265.14094067737
93.0,7054989.38,7440146.4984,152739.02076188073
94.0,7054989.38,7439101.8884000005,151125.67821416314
95.0,7052838.079999999,7414809.330400001,156855.9908652331
96.0,7052838.079999999,7402372.4852,158193.613467893
97.0,7052838.079999999,7389465.4404,150755.53749980193
98.0,7052838.079999999,7382127.976400001,155695.5530687041
99.0,7052838.079999999,7377070.977999999,155416.86153245505
100.0,7052838.079999999,7370024.490800001,149971.5948581266
101.0,7052838.079999999,7366090.446800001,147638.96860852296
102.0,7052838.079999999,7353871.2360000005,149232.6752999361
103.0,7052838.079999999,7336784.238399999,157358.3561047089
104.0,7052838.079999999,7331623.2444,156612.38987183804
105.0,7052838.079999999,7329165.998,154330.81866267973
106.0,7052838.079999999,7320239.5564,157173.69033316243
107.0,6995521.08,7313174.4572,155494.12720153396
108.0,6995521.08,7305228.278799999,155613.55857627312
109.0,6995521.08,7299131.4804,153679.39138064603
110.0,6995521.08,7297729.79,151555.4360210854
111.0,6995521.08,7297729.79,151555.4360210854
112.0,6995521.08,7290572.532399999,153747.41003867422
113.0,6995521.08,7288653.830399999,152468.32869696352
114.0,6995521.08,7288653.830399999,152468.32869696352
115.0,6995521.08,7283608.3527999995,151168.58735465843
116.0,6995521.08,7283608.3527999995,151168.58735465843
117.0,6995521.08,7268800.5872,146641.75991067613
118.0,6995521.08,7264628.2732,143275.34820673775
119.0,6995521.08,7264373.082,143177.916787221
120.0,6995521.08,7264373.082,143177.916787221
121.0,6995521.08,7263353.026399999,144465.0726064249
122.0,6995521.08,7255411.5244,144720.47504287792
123.0,6995521.08,7242459.429200001,144471.40998924943
124.0,6995521.08,7238204.4276,142496.00472435766
125.0,6995521.08,7232263.3244,142370.6515856193
126.0,6948918.52,7218081.8532,145654.30230485793
127.0,6948918.52,7209183.473599999,146026.43437882373
128.0,6948918.52,7206345.038,143856.6140820521
129.0,6948918.52,7198399.606799999,139540.31928778542
130.0,6948918.52,7196340.3527999995,138182.93817338807
131.0,6948918.52,7188817.322799999,134184.35952233718
132.0,6923908.179999999,7178356.4496,140278.50312976638
133.0,6923908.179999999,7168969.0156,133931.7222303594
134.0,6923908.179999999,7161833.9388,134840.15601163203
135.0,6923908.179999999,7150019.4864,123543.20975478766
136.0,6923908.179999999,7143549.459199999,123878.9752500332
137.0,6923908.179999999,7143549.459199999,123878.9752500332
138.0,6923908.179999999,7143471.936799999,123895.2915228686
139.0,6923908.179999999,7135070.9788,118254.67549989463
140.0,6923908.179999999,7132524.008400001,116722.42298107187
141.0,6923908.179999999,7132524.008400001,116722.42298107187
142.0,6879152.899999999,7125029.288,120653.64780553237
143.0,6879152.899999999,7118704.5784,116428.32420080848
144.0,6879152.899999999,7117421.6064,117059.67088085986
145.0,6879152.899999999,7113653.875200001,120454.95652604435
146.0,6879152.899999999,7107001.6368,119280.69507374459
147.0,6879152.899999999,7103380.1115999995,117194.12910740511
148.0,6879152.899999999,7100745.3816,118863.74327985203
149.0,6879152.899999999,7097139.621599999,115579.09858737931
150.0,6879152.899999999,7085926.493199999,107891.98440226699
151.0,6879152.899999999,7085806.000399999,107845.1923784616
152.0,6879152.899999999,7080615.456,110356.7968456836
153.0,6879152.899999999,7074697.2996000005,108572.28517830609
154.0,6879152.899999999,7073969.735599999,108800.07177791712
155.0,6879152.899999999,7072515.2676,105996.68843519733
156.0,6879152.899999999,7069525.622,106433.06165663009
157.0,6879152.899999999,7069518.9256,106437.72798627846
158.0,6879152.899999999,7064186.2172,95927.80431689812
159.0,6879152.899999999,7063423.0948,94857.44155024867
160.0,6879152.899999999,7061544.1096,95893.26893568439
161.0,6879152.899999999,7061544.1096,95893.26893568439
162.0,6879152.899999999,7061544.1096,95893.26893568439
163.0,6861096.999999999,7052933.0164,91202.50221081042
164.0,6861096.999999999,7052309.0712,91130.79668426208
165.0,6861096.999999999,7048660.3188,88031.90689574259
166.0,6861096.999999999,7048033.346,87843.3052376898
167.0,6861096.999999999,7047604.286800001,88065.19601130357
168.0,6861096.999999999,7047604.286800001,88065.19601130357
169.0,6861096.999999999,7038507.1292,82657.11559747615
170.0,6861096.999999999,7035603.5612,82964.31487763413
171.0,6861096.999999999,7034744.7112,83125.24758776338
172.0,6861096.999999999,7027310.8584,82248.27017333436
173.0,6861096.999999999,7021722.9355999995,79552.47733605141
174.0,6861096.999999999,7016096.2344,77782.99554381697
175.0,6724860.82,7005098.3856,83598.69058446841
176.0,6724860.82,7005098.3856,83598.69058446841
177.0,6724860.82,7004895.8476,83342.85172810774
178.0,6623319.9399999995,6995295.785599999,97406.01872649598
179.0,6623319.9399999995,6995295.785599999,97406.01872649598
180.0,6623319.9399999995,6990409.2604,102641.33177485756
181.0,6623319.9399999995,6984274.013199999,103415.99565847078
182.0,6623319.9399999995,6984274.013199999,103415.99565847078
183.0,6623319.9399999995,6981188.6228,102547.19880792442
184.0,6623319.9399999995,6979222.576800001,103812.90099315246
185.0,6623319.9399999995,6978269.217999999,103674.2685141817
186.0,6623319.9399999995,6975848.5636,102750.64982008535
187.0,6623319.9399999995,6971250.9152,107256.70348119491
188.0,6623319.9399999995,6967772.5332,107854.54269253615
189.0,6623319.9399999995,6966875.6676,107294.88807668211
190.0,6623319.9399999995,6966017.275599999,107236.6301213463
191.0,6623319.9399999995,6961214.5948,105842.74200192418
192.0,6623319.9399999995,6961214.5948,105842.74200192418
193.0,6623319.9399999995,6958299.091600001,105711.02846667207
194.0,6623319.9399999995,6957228.6175999995,105896.88316891935
195.0,6623319.9399999995,6957228.6175999995,105896.88316891935
196.0,6623319.9399999995,6956748.0792000005,105720.29995715205
197.0,6623319.9399999995,6955758.3556,104773.85348565794
198.0,6623319.9399999995,6947930.6504,101161.14178466325
199.0,6623319.9399999995,6946418.2824,100755.98026846134
200.0,6623319.9399999995,6941763.3488,103676.83599949481
201.0,6623319.9399999995,6937660.6099999985,101904.894176941
202.0,6623319.9399999995,6926346.3104,108786.27377333112
203.0,6623319.9399999995,6924057.1084,109561.14746475896
204.0,6623319.9399999995,6922011.103999999,108084.71578828525
205.0,6623319.9399999995,6913841.433999999,104074.62862183529
206.0,6623319.9399999995,6906638.245599998,102195.15826954134
207.0,6623319.9399999995,6896702.507599998,104792.69044457297
208.0,6623319.9399999995,6896702.507599998,104792.69044457297
209.0,6623319.9399999995,6896702.507599998,104792.69044457297
210.0,6623319.9399999995,6896702.507599998,104792.69044457297
211.0,6623319.9399999995,6896702.507599998,104792.69044457297
212.0,6623319.9399999995,6896597.239599999,104814.4596201674
213.0,6623319.9399999995,6892685.671999999,101068.66192937549
214.0,6623319.9399999995,6892685.671999999,101068.66192937549
215.0,6623319.9399999995,6890061.761999999,96941.54393710567
216.0,6623319.9399999995,6889253.5152,96131.08243835052
217.0,6623319.9399999995,6884791.724799999,95802.61577252719
218.0,6623319.9399999995,6882485.834799999,96037.68564269925
219.0,6623319.9399999995,6881014.897999998,96835.5754226533
220.0,6623319.9399999995,6879468.864399999,98044.44065572866
221.0,6623319.9399999995,6876302.9112,94976.48270114836
222.0,6623319.9399999995,6874798.025199998,94607.54307257378
223.0,6623319.9399999995,6868106.9616,92074.93408111461
224.0,6623319.9399999995,6868106.9616,92074.93408111461
225.0,6623319.9399999995,6868106.9616,92074.93408111461
226.0,6623319.9399999995,6867957.4716,92289.42287948531
227.0,6623319.9399999995,6866062.742,91510.99026700067
228.0,6623319.9399999995,6861390.300399998,87913.92552341521
229.0,6623319.9399999995,6861390.300399998,87913.92552341521
230.0,6623319.9399999995,6860977.810799998,87500.27438069838
231.0,6623319.9399999995,6855313.300799999,87402.27755624073
232.0,6623319.9399999995,6855313.300799999,87402.27755624073
233.0,6623319.9399999995,6851828.706399999,84036.144372556
234.0,6623319.9399999995,6848358.328399999,82227.0620663929
235.0,6623319.9399999995,6848358.328399999,82227.0620663929
236.0,6623319.9399999995,6848281.8275999995,82224.62213965107
237.0,6623319.9399999995,6847192.82,81724.18771527939
238.0,6623319.9399999995,6846382.3448,81472.4451738216
239.0,6623319.9399999995,6838879.423999999,83966.47449469984
240.0,6623319.9399999995,6837962.3127999995,83771.78452181334
241.0,6623319.9399999995,6834373.498399999,86219.31875974749
242.0,6623319.9399999995,6832567.9452,85461.37816101834
243.0,6623319.9399999995,6832567.9452,85461.37816101834
244.0,6613753.24,6828989.685999999,90645.45072486172
245.0,6613753.24,6824728.0128,88430.10542611199
246.0,6613753.24,6823503.118799998,86997.88590076023
247.0,6613753.24,6818766.900799999,86555.71388963709
248.0,6613753.24,6818766.900799999,86555.71388963709
249.0,6613753.24,6814180.900399999,87027.21510588608
250.0,6613753.24,6810553.455999999,87318.4834283139
251.0,6613753.24,6810553.455999999,87318.4834283139
252.0,6613753.24,6807089.3719999995,86417.05730472824
253.0,6613753.24,6803104.977999999,86711.27623790292
254.0,6613753.24,6803104.977999999,86711.27623790292
255.0,6613753.24,6800324.408,86675.47897263287
256.0,6613753.24,6798540.502799999,84439.65441838272
257.0,6613753.24,6795375.873199999,82594.12952544529
258.0,6613753.24,6795375.873199999,82594.12952544529
259.0,6613753.24,6792235.8067999985,78594.76387822768
260.0,6613753.24,6792235.8067999985,78594.76387822768
261.0,6613753.24,6792235.8067999985,78594.76387822768
262.0,6613753.24,6792235.8067999985,78594.76387822768
263.0,6613753.24,6792235.8067999985,78594.76387822768
264.0,6613753.24,6791520.468399999,78655.81008948658
265.0,6613753.24,6791520.468399999,78655.81008948658
266.0,6613753.24,6787783.460399998,79507.62660621593
