generation,best_fitness,mean_fitness,std_fitness
0.0,341434123.0475,3256452057.928975,4334736657.696655
1.0,341434123.0475,1739004186.6282313,1645382890.0746582
2.0,341434123.0475,1063228038.8460687,743555800.2945737
3.0,231293513.7478125,811113354.6018811,622540180.4900479
4.0,150175608.9221875,556094185.5185032,337838044.45733017
5.0,130671795.48671874,415552021.32932824,176583224.4363647
6.0,73037171.82421875,346882545.9415828,155608509.1013487
7.0,70594089.15843749,288769070.2939235,157680159.17434844
8.0,34569334.86128906,250611647.67363206,146339502.35664788
9.0,27098664.951972656,191442318.5915481,107787234.4294699
10.0,27098664.951972656,146932236.71724257,81927947.75338879
11.0,19087767.388706055,106931849.36336046,68333610.91032724
12.0,18642918.809853517,77628401.92291084,44079338.35710869
13.0,18642918.809853517,64786739.06449316,34837769.48501407
14.0,18572251.392377928,50416145.946821004,22140319.59522008
15.0,8420513.28,41594074.67751504,19687951.249833755
16.0,8420513.28,35140959.39166201,16320661.161035104
17.0,8420513.28,28707162.92123994,12627395.648721825
18.0,8420513.28,25891975.93212734,11161020.805467978
19.0,7994344.96,22185939.381938376,10131941.717619356
20.0,7994344.96,18804693.120461717,8778249.655304836
21.0,7994344.96,16683362.86211797,7938444.465230297
22.0,7994344.96,14592604.757150488,7416004.648058926
23.0,7994344.96,12951137.524439454,6174117.4817867745
24.0,7994344.96,12025520.694401465,5621504.89480852
25.0,7736410.3599999985,10405381.187365722,4384741.237614149
26.0,7736410.3599999985,9376192.575441796,3166085.1949085086
27.0,7736410.3599999985,8853276.78160957,2540177.409426107
28.0,7736410.3599999985,8810778.797194824,2537247.233782835
29.0,7736410.3599999985,8601188.514985058,2168316.3970222916
30.0,7736410.3599999985,8564038.945385057,2175591.0262747104
31.0,7736410.3599999985,8536247.342539452,2148491.2812718907
32.0,7736410.3599999985,8526151.490539452,2149705.4546139427
33.0,7712527.499999999,8051905.9788,213127.97951839672
34.0,7712527.499999999,8002739.6208,175568.95343502145
35.0,7604894.039999999,7976771.544,183818.73236250997
36.0,7272425.279999999,7962024.3588,207804.0189809346
37.0,7272425.279999999,7915222.148399999,216092.26729433538
38.0,7272425.279999999,7900864.072000001,210360.20303334517
39.0,7272425.279999999,7869585.997199999,199020.38023270274
40.0,7272425.279999999,7836540.025599999,202659.87998252758
41.0,7272425.279999999,7827241.473999999,195660.53704428152
42.0,7272425.279999999,7806300.2652,193092.6196420273
43.0,7272425.279999999,7776812.6728,195520.52189813965
44.0,7272425.279999999,7737341.473199999,194335.41196018568
45.0,7272425.279999999,7718398.1424,190940.9307324974
46.0,7239667.06,7699417.4872,196690.16403982005
47.0,7239667.06,7687538.3719999995,191929.794344931
48.0,7232642.679999999,7665299.6515999995,205851.80724977833
49.0,7232642.679999999,7640091.072399999,202107.6912994168
50.0,7211583.659999999,7601666.476799999,201885.7940894642
51.0,7211583.659999999,7570499.8748,200243.34845621407
52.0,7211583.659999999,7552351.916,191826.39673955322
53.0,7211583.659999999,7529521.0696,178738.58940389357
54.0,7211583.659999999,7513264.732400001,173590.1383634945
55.0,7211583.659999999,7501917.662400002,164684.45737216683
56.0,7211583.659999999,7497336.4932,165831.42699413266
57.0,7211583.659999999,7490420.219199999,164895.2891572957
58.0,7202493.039999998,7484512.696799999,164674.4806184149
59.0,7202493.039999998,7477192.305199999,159313.35081595313
60.0,7202493.039999998,7446137.213999999,151359.28825621013
61.0,7202493.039999998,7443061.686399999,151152.96163506844
62.0,7114226.579999999,7425883.349199998,146338.6876114082
63.0,7114226.579999999,7421152.2623999985,147150.37281914955
64.0,7114226.579999999,7408621.1672,138338.1128247034
65.0,7114226.579999999,7398558.239599999,140701.59191417776
66.0,7114226.579999999,7376631.121599999,144160.4940969352
67.0,7114226.579999999,7364444.7512,146615.78008423484
68.0,7114226.579999999,7352171.290000001,148761.4355070812
69.0,7071562.84,7334920.385200001,144583.09228911498
70.0,7071562.84,7311642.5616,129328.27472868751
71.0,7071562.84,7310063.964399999,131252.21210322276
72.0,6979084.119999999,7290949.047199999,139031.32089542664
73.0,6902547.899999999,7268443.534799999,150697.47330115794
74.0,6902547.899999999,7247928.6956,140163.28331465577
75.0,6902547.899999999,7232938.584400002,139556.73894708592
76.0,6902547.899999999,7224777.406,137333.60517810727
77.0,6877933.14,7215449.777600002,145744.18841444614
78.0,6877933.14,7206765.159599999,148659.56521740113
79.0,6873654.2,7181672.3196,143576.42494317397
80.0,6873654.2,7172081.1896,138556.14524696354
81.0,6873654.2,7163880.5227999985,129938.54724850034
82.0,6873654.2,7156282.587599998,132196.5595820687
83.0,6873654.2,7142648.9892,127950.75554850204
84.0,6873654.2,7134920.345599998,125147.12046847101
85.0,6873654.2,7116403.0068,122963.99947747964
86.0,6873654.2,7115008.3084,122315.52598723427
87.0,6873654.2,7106828.107599999,116100.93325445463
88.0,6789041.8,7101733.066000001,124071.6072380295
89.0,6789041.8,7092354.654399999,117107.17047819946
90.0,6789041.8,7088367.8092,114071.20679236569
91.0,6789041.8,7083262.718399999,113189.624188974
92.0,6789041.8,7077819.054799999,117474.34356756399
93.0,6789041.8,7068629.097999998,122589.55199981427
94.0,6789041.8,7066299.941599999,124513.7894054796
95.0,6789041.8,7060139.735999999,121706.68041030457
96.0,6789041.8,7055856.476799998,118663.59052947348
97.0,6789041.8,7051647.853999998,115747.51333170719
98.0,6789041.8,7044301.349599998,111329.52930990467
99.0,6789041.8,7039425.179199998,111643.55284267326
100.0,6789041.8,7027361.836799998,117130.0849960956
101.0,6789041.8,7009987.447999998,112992.32470503802
102.0,6789041.8,6997514.847999998,107630.02649831251
103.0,6703573.4399999995,6979767.498799998,108479.4869289023
104.0,6703573.4399999995,6968052.038399998,110508.05395408225
105.0,6703573.4399999995,6948374.361199999,118808.97964028633
106.0,6703573.4399999995,6946060.415199999,121326.83975803891
107.0,6703573.4399999995,6940884.671599998,120410.26575562292
108.0,6703573.4399999995,6926173.361599999,120373.2408164949
109.0,6703573.4399999995,6919188.866799998,121075.74083173624
110.0,6703573.4399999995,6913293.163999999,120950.76680292073
111.0,6703573.4399999995,6904850.8363999985,120615.98464188559
112.0,6703573.4399999995,6897925.629199998,113917.62664034682
113.0,6703573.4399999995,6893952.874799999,114205.62642627317
114.0,6703573.4399999995,6887273.276399999,111892.05795645135
115.0,6703573.4399999995,6883619.0056,111067.06911515482
116.0,6703573.4399999995,6876154.257599998,107306.00389630905
117.0,6703573.4399999995,6856406.01,85896.21922649462
118.0,6577039.4399999995,6840363.5828,86802.58758441375
119.0,6577039.4399999995,6833742.453999999,82586.03787568657
120.0,6577039.4399999995,6821688.7976,91435.22849653142
121.0,6577039.4399999995,6814930.206399999,88368.25698964851
122.0,6577039.4399999995,6810746.764399998,89056.71146127552
123.0,6577039.4399999995,6805960.408,87323.18517511387
124.0,6577039.4399999995,6800647.010799999,85819.47659042258
125.0,6577039.4399999995,6790633.454399999,84140.25016228227
126.0,6535749.58,6776113.9128,92898.26681950036
127.0,6535749.58,6771738.704399998,90779.31112208587
128.0,6535749.58,6769288.346399998,92033.41009880688
129.0,6535749.58,6750268.319599999,86305.74516125959
130.0,6535749.58,6737161.331599999,90387.25639158185
131.0,6524341.18,6722276.881999999,91222.65114995942
132.0,6524341.18,6712380.910800001,87585.43680321806
133.0,6459852.879999999,6695049.709199999,97846.69478269316
134.0,6459852.879999999,6680205.735599999,92297.80025091777
135.0,6459852.879999999,6676423.722799999,94301.21312999324
136.0,6459852.879999999,6674249.271199998,93535.82505939479
137.0,6450936.4399999995,6666950.584399999,96183.5761660443
138.0,6450936.4399999995,6654446.508799999,97788.72179165605
139.0,6450936.4399999995,6632379.5556,90383.20764122509
140.0,6450936.4399999995,6623110.830399999,91942.86621970437
141.0,6450936.4399999995,6621815.324799999,92935.63179672878
142.0,6441786.539999999,6615596.700799999,93243.12643427089
143.0,6441786.539999999,6600534.2644,92471.95924183232
144.0,6441786.539999999,6593762.618,84421.85051569901
145.0,6441786.539999999,6581440.152799998,82795.19273634683
146.0,6440462.720000001,6578662.267199999,85083.60559239937
147.0,6440462.720000001,6570579.923199999,81717.16396546621
148.0,6440462.720000001,6558640.8044,72545.74004165972
149.0,6371976.9,6556305.7916,76528.05424647657
150.0,6371976.9,6554896.770799999,77090.87180917726
151.0,6371976.9,6544635.3424,75006.06182033964
152.0,6371976.9,6541376.723599999,74759.67224150612
153.0,6371976.9,6535611.983599999,77286.94243781899
154.0,6371976.9,6529244.0216,76808.90706732398
155.0,6371976.9,6524805.6532,68537.62995081459
156.0,6371976.9,6518745.155599999,63432.42530211236
157.0,6371976.9,6518503.0592,63480.79214539299
158.0,6371976.9,6514347.8748,58675.6372227583
159.0,6371976.9,6510984.594,58940.96757291182
160.0,6371976.9,6509244.1384,57375.47969027563
161.0,6371976.9,6508828.2792,57917.454529779316
162.0,6371976.9,6502882.4112,54111.18942171041
163.0,6371976.9,6502224.7536,54275.872009616556
164.0,6353013.039999999,6494551.096,55630.416338895775
165.0,6353013.039999999,6492859.0775999995,53730.51670514683
166.0,6342532.539999999,6488926.8268,53025.8438627707
167.0,6342532.539999999,6485833.953199999,54155.3825449663
168.0,6342532.539999999,6484706.1412,53106.33045713905
169.0,6338569.959999999,6479964.0664,57482.92447939977
170.0,6338569.959999999,6476679.793199999,58782.22665923161
171.0,6338569.959999999,6474767.4355999995,58779.608254796745
172.0,6338569.959999999,6474767.4355999995,58779.608254796745
173.0,6338569.959999999,6468487.3864,58779.00533867877
174.0,6338569.959999999,6468487.3864,58779.00533867877
175.0,6338569.959999999,6462371.906799999,54902.806803834246
176.0,6338569.959999999,6458648.4792,52226.36048682241
177.0,6338569.959999999,6456847.2012,52325.79209331242
178.0,6338569.959999999,6456462.0516,51962.96025794472
179.0,6338569.959999999,6455606.359599999,52202.6375109949
180.0,6338569.959999999,6453465.7979999995,52794.38695515946
181.0,6338569.959999999,6449526.3527999995,50746.899094543776
182.0,6338569.959999999,6449526.3527999995,50746.899094543776
183.0,6338569.959999999,6445393.223199999,47539.55784465741
184.0,6338569.959999999,6440087.121199999,46994.18876160522
185.0,6338569.959999999,6436835.320800001,44126.78628281932
186.0,6338569.959999999,6436475.961999999,43948.108274407445
187.0,6338569.959999999,6436475.961999999,43948.108274407445
188.0,6241898.9399999995,6430846.7288,51804.08353755519
189.0,6241898.9399999995,6426496.362,48944.92740200725
190.0,6241898.9399999995,6424989.156799999,50056.51239380548
191.0,6241898.9399999995,6421082.5964,51798.77392172636
192.0,6241898.9399999995,6418155.579599999,49993.583906523105
193.0,6241898.9399999995,6416495.2136,50535.65955170405
194.0,6241898.9399999995,6416271.642799999,50413.43096846032
195.0,6216978.2,6408938.4827999985,58559.08138040498
196.0,6216978.2,6406462.679599999,59674.503214237746
197.0,6216978.2,6406462.679599999,59674.503214237746
198.0,6216978.2,6400526.5183999995,58216.956213077545
199.0,6216978.2,6399955.200399999,57886.227070646826
200.0,6216978.2,6393377.271599999,57911.63881560441
201.0,6216978.2,6387998.658799998,56762.94515446663
202.0,6216978.2,6382458.746399999,55615.521989589
203.0,6216978.2,6382458.746399999,55615.521989589
204.0,6209239.239999999,6376271.797199999,62370.3524370387
205.0,6209239.239999999,6375651.3511999985,62441.62196002348
206.0,6209239.239999999,6371516.748799998,60222.17486449487
207.0,6209239.239999999,6366551.3056,60647.0132122565
208.0,6209239.239999999,6365850.769599999,60126.62183234594
209.0,6209239.239999999,6363300.712399999,59946.56889734296
210.0,6209239.239999999,6359247.903599999,57648.552094519175
211.0,6209239.239999999,6357774.581199999,57239.30033527083
212.0,6209239.239999999,6355985.714799999,57874.46517341878
213.0,6209239.239999999,6355985.714799999,57874.46517341878
