generation,best_fitness,mean_fitness,std_fitness
0.0,192031465.735,2986968173.0283494,2963193577.3321247
1.0,192031465.735,2002592676.5486004,1830583906.8446903
2.0,189115854.70046875,1209726686.4685469,764638996.336019
3.0,189115854.70046875,913398995.2631282,508874327.4459887
4.0,180929297.11046875,735080871.8721874,354629581.71944433
5.0,70143579.30234376,482866122.81190157,255355867.56446666
6.0,70143579.30234376,390413889.4272625,233516840.36828694
7.0,44243648.08980469,305342448.42501014,177543862.35020882
8.0,29357284.714453124,256740925.86281174,150681675.96828634
9.0,29357284.714453124,215986995.3850109,140344169.6594995
10.0,29357284.714453124,191298171.7438469,116268234.63068213
11.0,29357284.714453124,173422375.27880937,105185284.89197224
12.0,28906962.49821289,147399946.63970643,84207146.14479472
13.0,7981749.479999999,130901703.98806897,85829478.82216021
14.0,7981749.479999999,101416454.9032875,57240676.75195478
15.0,7981749.479999999,91148184.57668126,55894652.89982334
16.0,7981749.479999999,76014737.2728086,41588908.35938834
17.0,7981749.479999999,68492133.03807706,39165969.176559806
18.0,7981749.479999999,63883130.73929852,35684737.64155133
19.0,7981749.479999999,53176166.410418645,29116418.45896442
20.0,7981749.479999999,45785964.80798652,22162677.545649707
21.0,7981749.479999999,41837181.86188633,20018054.45155774
22.0,7981749.479999999,39547830.362100385,19932321.49708731
23.0,7981749.479999999,34517810.02237774,19280974.53758568
24.0,7981749.479999999,31450135.478047267,16179493.862775546
25.0,7981749.479999999,26879371.6355623,11938409.775621688
26.0,7981749.479999999,24567331.03227754,9765163.034951927
27.0,7836919.659999999,22074485.051068846,9334929.042477287
28.0,7836919.659999999,20171337.514414746,8413257.20516254
29.0,7623312.8,17240625.124939352,8536208.640512818
30.0,7623312.8,15905998.366651757,7954812.956831955
31.0,7623312.8,15327525.632028027,7703349.080668481
32.0,7541624.319999999,13949089.065778125,7206357.870853642
33.0,7541624.319999999,12587520.738500781,6400649.975367287
34.0,7541624.319999999,10783375.452301173,5000316.341740989
35.0,7384656.38,10515590.842884865,4794341.567721971
36.0,7384656.38,9999084.238121679,4253505.93017654
37.0,7384656.38,9529602.321550684,3819915.6643901304
38.0,7384656.38,9170530.441306641,3277372.606786991
39.0,7384656.38,9091040.348216992,3204089.089966444
40.0,7345224.22,8612054.942045996,2493167.313248442
41.0,7345224.22,8164973.5631375965,1531201.2118931583
42.0,7345224.22,8160051.074737597,1531288.4191755685
43.0,7345224.22,8143909.472737597,1533012.279583498
44.0,7345224.22,8112248.864737597,1530937.5128038125
45.0,7281438.499999999,8063496.947537598,1532861.5532837375
46.0,7281438.499999999,8011996.50655459,1387306.1748013175
47.0,7281438.499999999,7980572.494154589,1389594.0099879168
48.0,7281438.499999999,7952334.026154589,1394116.9673419415
49.0,7281438.499999999,7936309.383354588,1397060.685900296
50.0,7281438.499999999,7929924.686554589,1398069.2536360242
51.0,7281438.499999999,7923928.195754589,1399089.1014581996
52.0,7281438.499999999,7923463.330154588,1399136.7655149712
53.0,7199762.6,7900487.031354589,1402936.5339534562
54.0,7178527.36,7874998.6765545895,1407120.3527277831
55.0,7178527.36,7868572.20535459,1406671.2857237838
56.0,7178527.36,7674088.371199999,232105.99941246342
57.0,7178527.36,7651416.8076,228469.82040702013
58.0,7178527.36,7629635.5072,198501.2257521967
59.0,7178527.36,7611201.3268,187573.39617119724
60.0,7178527.36,7597565.395200001,186659.48548510834
61.0,7178527.36,7589294.114800001,182021.3063247946
62.0,7178527.36,7586093.3164,180337.63969877007
63.0,7178527.36,7569602.114399999,187534.602316337
64.0,7178527.36,7561443.151999999,186317.29593514392
65.0,7178527.36,7550612.0123999985,183981.57201103817
66.0,7178527.36,7545347.731999998,183223.22767411926
67.0,7178527.36,7536724.813599998,184323.29924395858
68.0,7178527.36,7529327.051199998,183309.9461601491
69.0,7178527.36,7520167.031199999,179534.36318153393
70.0,7178527.36,7507569.152399999,167419.36658341702
71.0,7178527.36,7507569.152399999,167419.36658341702
72.0,7178527.36,7498888.0636,166114.2180007261
73.0,7178527.36,7496653.5104,167281.36348685052
74.0,7178527.36,7494641.124799999,166832.38660429255
75.0,7178527.36,7486271.358399999,165339.5367573907
76.0,7178527.36,7478501.261599999,165666.65580760106
77.0,7178527.36,7467196.937599999,166411.36761866332
78.0,7178527.36,7462944.922799999,167647.31983873423
79.0,7178527.36,7449911.246399999,168623.94480887966
80.0,7178527.36,7418597.663199999,155544.51911627632
81.0,7178527.36,7418233.5948,155254.01913728463
82.0,7070294.36,7415941.631199999,159186.8133882889
83.0,7070294.36,7414570.895599999,157598.80183883422
84.0,7070294.36,7414059.1952,158056.02307794447
85.0,7057398.28,7403794.7724,165069.23846643613
86.0,7057398.28,7398496.092,156621.9757781783
87.0,7057398.28,7393649.384000001,144338.5907167909
88.0,7057398.28,7388634.080399999,136087.5345945822
89.0,7057398.28,7387187.740799999,136195.05308911813
90.0,7057398.28,7384126.2492,134878.5763585416
91.0,7057398.28,7382818.149200001,133025.86009012678
92.0,7057398.28,7372001.15,122066.45437373407
93.0,7057398.28,7369298.3144000005,122742.86089112521
94.0,7057398.28,7366677.3144000005,121281.61379476658
95.0,7057398.28,7365088.8428,120358.36235862895
96.0,7057398.28,7364898.2776,120157.62601811806
97.0,7057398.28,7352533.693599999,116341.14154989149
98.0,7057398.28,7352533.693599999,116341.14154989149
99.0,7057398.28,7352533.693599999,116341.14154989149
100.0,7057398.28,7348085.2724,116950.58021424382
101.0,7057398.28,7348085.2724,116950.58021424382
102.0,7057398.28,7343975.664399999,113383.09010080586
103.0,7057398.28,7337601.26,114504.48150111744
104.0,7045918.499999999,7322971.5731999995,116346.24541724443
105.0,7045918.499999999,7318427.7252,115290.9130924529
106.0,7045918.499999999,7314342.2884,115392.0878009163
107.0,7045918.499999999,7307886.7624,113335.96679663016
108.0,7045918.499999999,7304388.3675999995,108730.1722207011
109.0,7045918.499999999,7300750.6012,112361.34289933603
110.0,7045918.499999999,7298301.5564,108639.95747759668
111.0,7045918.499999999,7297840.595199999,108620.64683337205
112.0,7045918.499999999,7293643.0448,105407.04860300019
113.0,7045918.499999999,7288613.9712000005,103070.28239923922
114.0,7045918.499999999,7280703.163199999,106891.72545780816
115.0,7002302.199999999,7276334.373999999,112869.36085142783
116.0,6897103.1,7262918.947199999,125610.13949216309
117.0,6897103.1,7262491.3652,125375.29731014592
118.0,6897103.1,7262491.3652,125375.29731014592
119.0,6897103.1,7249753.776000001,127147.71050403616
120.0,6897103.1,7249669.184400001,127028.50698532307
121.0,6897103.1,7249669.184400001,127028.50698532307
122.0,6897103.1,7247770.856799999,129218.81882930797
123.0,6897103.1,7240840.967599999,123883.35000064415
124.0,6897103.1,7239230.153999998,123746.38043222288
125.0,6897103.1,7235308.610799999,122834.07299363615
126.0,6897103.1,7233345.604799999,123297.42409633865
