generation,best_fitness,mean_fitness,std_fitness
0.0,879000.0,753573879.5345306,2819030734.0928516
1.0,879000.0,362315632.2490692,2073906187.4337692
2.0,854000.0,13363912.337875366,19029946.32493947
3.0,854000.0,7949708.553314209,11540161.756413404
4.0,854000.0,4635339.847564697,5429856.965087243
5.0,854000.0,3299758.530807495,4373263.768995835
6.0,728000.0,2393728.33442688,3211802.5444909874
7.0,696000.0,1966668.2788848877,2716836.667837244
8.0,690000.0,1475974.5246887207,1613404.415062249
9.0,690000.0,1196325.0,287765.3025904965
10.0,690000.0,1141925.0,295163.2927296347
11.0,676000.0,1049425.0,276528.378968597
12.0,551000.0,1007775.0,283176.75465157797
13.0,551000.0,975175.0,259163.93339930617
14.0,551000.0,910750.0,207064.45252626052
15.0,551000.0,867625.0,185474.6192205284
16.0,551000.0,845025.0,184741.64223314676
17.0,551000.0,830825.0,188127.73419939974
18.0,551000.0,812100.0,187074.29005611647
19.0,551000.0,777125.0,163902.13352790743
20.0,551000.0,750025.0,156811.7482046546
21.0,551000.0,722525.0,136328.09459168714
22.0,551000.0,693425.0,104247.75477198538
23.0,526000.0,680925.0,93262.10042133943
24.0,526000.0,664875.0,76102.62396921673
25.0,526000.0,651075.0,75235.42632962213
26.0,526000.0,637500.0,69674.60082411667
27.0,526000.0,627325.0,63705.332390624884
28.0,526000.0,617275.0,65848.30578686137
29.0,526000.0,606600.0,54765.77398339222
30.0,526000.0,602050.0,48490.69498367702
31.0,521000.0,597500.0,50543.54558200285
32.0,521000.0,590000.0,49590.32163638385
33.0,512000.0,582550.0,46950.47923078102
34.0,499000.0,572100.0,46136.644871511846
35.0,499000.0,561000.0,41942.222163352286
36.0,490000.0,550800.0,33657.9856794788
37.0,481000.0,537700.0,32332.027465038438
38.0,481000.0,535725.0,30844.76252137468
39.0,481000.0,533375.0,27839.439200529883
40.0,481000.0,532050.0,26261.140493131672
41.0,481000.0,531625.0,26018.923402016462
42.0,481000.0,528800.0,25091.034255287286
43.0,481000.0,526175.0,23349.397743839134
44.0,481000.0,523600.0,23847.222060441338
45.0,481000.0,521525.0,24490.801844774294
46.0,469000.0,521100.0,25239.65134466005
47.0,469000.0,517450.0,24484.638041024824
48.0,469000.0,517200.0,24324.062160749385
49.0,466000.0,511475.0,22422.07338762408
50.0,466000.0,511475.0,22422.07338762408
51.0,466000.0,510325.0,22116.043384837172
52.0,465000.0,508350.0,22543.90161440561
53.0,465000.0,506525.0,23074.864571650254
54.0,465000.0,505250.0,21713.76291663884
55.0,465000.0,505050.0,21705.932368824888
56.0,465000.0,503550.0,21188.381250109695
57.0,464000.0,503200.0,20774.022239325728
58.0,464000.0,502025.0,19099.067385608127
59.0,464000.0,500250.0,19640.201119133173
60.0,464000.0,500000.0,19484.609310940778
61.0,464000.0,499225.0,18687.545986565492
62.0,458000.0,497475.0,19469.19040432858
63.0,454000.0,495100.0,19997.2498109115
64.0,454000.0,493875.0,19520.742173390845
65.0,454000.0,492275.0,19623.949016444167
66.0,454000.0,492050.0,19261.295387382437
67.0,454000.0,491950.0,19219.716439115327
68.0,454000.0,488950.0,18226.285962861442
69.0,454000.0,488950.0,18226.285962861442
70.0,454000.0,488225.0,17138.388926617343
71.0,454000.0,487725.0,17049.908357524975
72.0,454000.0,487525.0,16868.59137568991
73.0,454000.0,487375.0,16934.70917967002
74.0,454000.0,486400.0,16344.418007380991
75.0,454000.0,484225.0,15815.320894626198
76.0,454000.0,484225.0,15815.320894626198
77.0,454000.0,484225.0,15815.320894626198
78.0,454000.0,484025.0,15523.349348642516
79.0,454000.0,483550.0,15192.02093205509
80.0,454000.0,483550.0,15192.02093205509
81.0,454000.0,483550.0,15192.02093205509
82.0,447000.0,482225.0,16520.422966740287
83.0,447000.0,481425.0,16169.24163342239
84.0,447000.0,480125.0,15761.00805786229
85.0,447000.0,479075.0,15033.94076747677
86.0,447000.0,478775.0,14784.261056948366
87.0,447000.0,478150.0,15158.413505377137
88.0,447000.0,477375.0,15011.141695420773
89.0,447000.0,476425.0,14596.039702604265
90.0,447000.0,475925.0,14114.509378650042
91.0,447000.0,475600.0,13865.064009949612
92.0,429000.0,473800.0,15310.453944935793
93.0,429000.0,473625.0,15505.946439995207
94.0,429000.0,472175.0,15454.590741912256
95.0,429000.0,471150.0,14779.292946551943
96.0,429000.0,471150.0,14779.292946551943
97.0,429000.0,470475.0,14914.736839783664
98.0,429000.0,470100.0,14859.004004306615
99.0,429000.0,469350.0,14215.396582579046
100.0,429000.0,469350.0,14215.396582579046
101.0,429000.0,468475.0,14057.004481752148
102.0,429000.0,467050.0,14279.268188531232
103.0,429000.0,465625.0,14261.289387709654
104.0,429000.0,465575.0,14263.392829197406
105.0,429000.0,464900.0,13769.168457100088
106.0,429000.0,463625.0,12602.951043307277
107.0,429000.0,463625.0,12602.951043307277
108.0,429000.0,463500.0,12696.456198483103
